ID,en,es,type,lexical_category,low_en,high_en,low_es,high_es
27,volcano,volcán,COGNATE,N,The <MASK> had been dormant for decades.,"The <MASK> erupted suddenly, sending ash and lava into the sky.",La <MASK> había estado inactiva durante décadas.,"La <MASK> estalló repentinamente, enviando cenizas y lava al cielo."
28,ocean,océano,COGNATE,N,He enjoyed watching documentaries about the <MASK>.,The deep-sea exploration revealed creatures never before seen in the <MASK>.,Disfrutaba viendo documentales sobre la <MASK>.,La exploración de las profundidades marinas reveló criaturas nunca antes vistas en la <MASK>.
29,capacity,capacidad,COGNATE,N,The theater had a large <MASK> for hosting concerts.,"The bus reached full <MASK>, so no more passengers could board.",El teatro tenía una gran <MASK> para albergar conciertos.,"El autobús alcanzó <MASK> lleno, por lo que no pudieron subir más pasajeros."
30,article,artículo,COGNATE,N,She read an interesting <MASK> in the magazine.,The <MASK> provided an in-depth analysis of the economic impact of the new policy.,Leyó una <MASK> interesante en la revista.,La <MASK> proporcionó un análisis en profundidad del impacto económico de la nueva política.
31,cause,causa,COGNATE,N,They didn't know the <MASK> of the power outage.,The charity event was organized to support a noble <MASK>—helping children in need.,No conocían la <MASK> del corte de energía.,El evento benéfico se organizó para apoyar una noble <MASK>: ayudar a los niños necesitados.
32,flower,flor,COGNATE,N,She picked a <MASK> from the garden.,The bride held a bouquet of her favorite <MASK> as she walked down the aisle.,Ella escogió una <MASK> del jardín.,La novia sostenía un ramo de su <MASK> favorita mientras caminaba por el pasillo.
33,lemonade,limonada,COGNATE,N,He ordered a glass of <MASK> at the café.,"After a long day in the sun, nothing refreshed him like a cold glass of <MASK>.",Pidió un vaso de <MASK> en el café.,"Después de un largo día bajo el sol, nada lo refrescaba como un vaso frío de <MASK>."
34,computer,computadora,COGNATE,N,He used his <MASK> to watch movies.,Her new <MASK> was fast enough to handle advanced video editing software.,Usó su <MASK> para ver películas.,Su nueva <MASK> era lo suficientemente rápida como para manejar software avanzado de edición de video.
35,pear,pera,COGNATE,N,She grabbed a ripe <MASK> from the fruit bowl.,The salad recipe called for a thinly sliced green <MASK> to add a sweet contrast to the tangy dressing.,Agarró una <MASK> madura del frutero.,La receta de la ensalada requería una <MASK> verde en rodajas finas para agregar un contraste dulce al aderezo picante.
36,fruit,fruta,COGNATE,N,The market had a variety of fresh <MASK> for sale.,The tropical <MASK> they tried on their vacation was unlike anything they'd ever tasted.,El mercado tenía a la venta una variedad de <MASK> fresca.,La <MASK> tropical que probaron en sus vacaciones no se parecía a nada que hubieran probado jamás.
37,vegetable,vegetal,COGNATE,N,She sliced the <MASK> evenly for her meal.,"The colorful <MASK> display at the market included peppers, tomatoes, and cucumbers.",Cortó la <MASK> de manera uniforme para su comida.,"La colorida exhibición de <MASK> en el mercado incluía pimientos, tomates y pepinos."
38,paradise,paraíso,COGNATE,N,The island felt like <MASK> with its pristine beaches.,The remote beach with clear turquoise water was truly a tropical <MASK>.,La isla parecía <MASK> con sus playas vírgenes.,La playa remota con aguas cristalinas de color turquesa era verdaderamente una <MASK> tropical.
39,problem,problema,COGNATE,N,They tried to fix the <MASK> quickly.,The biggest <MASK> with the new software was its frequent crashes and glitches.,Intentaron arreglar la <MASK> rápidamente.,La mayor <MASK> del nuevo software fueron sus frecuentes fallos y fallos.
40,bicycle,bicicleta,COGNATE,N,He took his <MASK> to go to the park.,"The rusty <MASK> had a flat tire, making it impossible to ride.",Tomó su <MASK> para ir al parque.,"La <MASK> oxidada tenía una rueda pinchada, lo que hacía imposible conducirla."
41,album,álbum,COGNATE,N,She listened to the <MASK> while working on her project.,Her favorite song from the <MASK> was the one that reached number one on the charts.,Escuchó la <MASK> mientras trabajaba en su proyecto.,Su canción favorita de <MASK> fue la que alcanzó el número uno en las listas.
42,apartment,apartamento,COGNATE,N,They just moved into a new <MASK>.,The spacious <MASK> had a balcony overlooking the city skyline.,Acaban de mudarse a una nueva <MASK>.,La espaciosa <MASK> tenía un balcón con vista al horizonte de la ciudad.
43,appetite,apetito,COGNATE,N,"After the long hike, his <MASK> had increased.",Her <MASK> was enormous after skipping lunch and going for a five-mile run.,"Después de la larga caminata, su <MASK> había aumentado.",Su <MASK> era enorme después de saltarse el almuerzo y salir a correr cinco millas.
44,bar,bar,COGNATE,N,They went to the <MASK> after work.,The bartender at the local <MASK> made the best cocktails in town.,Fueron a la <MASK> después del trabajo.,El barman del <MASK> local preparaba los mejores cócteles de la ciudad.
45,bulletin,boletín,COGNATE,N,The university sent out a <MASK> with the latest news.,The <MASK> board was filled with announcements for upcoming events and activities.,La universidad envió una <MASK> con las últimas novedades.,El tablero de <MASK> estaba lleno de anuncios de próximos eventos y actividades.
46,button,botón,COGNATE,N,She pressed the <MASK> to start the machine.,The elevator wouldn't move until she pushed the correct floor <MASK>.,Presionó la <MASK> para iniciar la máquina.,El ascensor no se movería hasta que ella empujara el piso correcto <MASK>.
47,bracelet,brazalete,COGNATE,N,She wore a gold <MASK> on her wrist.,The <MASK> was a family heirloom passed down from her grandmother.,Llevaba una <MASK> dorada en su muñeca.,La <MASK> era una reliquia familiar heredada de su abuela.
48,career,carrera,COGNATE,N,He pursued a <MASK> in law.,Her <MASK> as a surgeon required years of intense training and education.,Persiguió una <MASK> en la ley.,Su <MASK> como cirujana requirió años de intensa formación y educación.
49,cement,cemento,COGNATE,N,They used <MASK> to patch the cracks on the sidewalk.,"The sidewalk was paved with fresh <MASK>, still wet and smooth.",Usaron <MASK> para reparar las grietas de la acera.,"La acera estaba pavimentada con <MASK> fresca, todavía húmeda y lisa."
50,disaster,desastre,COGNATE,N,They feared the storm would turn into a <MASK>.,"The hurricane caused widespread <MASK>, destroying homes and displacing thousands.",Temían que la tormenta se convirtiera en una <MASK>.,"El huracán causó <MASK> generalizada, destruyendo hogares y desplazando a miles de personas."
51,banana,banana,COGNATE,N,He packed a <MASK> in his lunchbox.,The ripe <MASK> was the perfect snack to fuel his morning run.,Empacó una <MASK> en su lonchera.,La <MASK> madura era el refrigerio perfecto para alimentar su carrera matutina.
52,explosion,explosión,COGNATE,N,The loud <MASK> could be heard from miles away.,The factory <MASK> caused significant damage to the surrounding area.,La fuerte <MASK> se podía escuchar a kilómetros de distancia.,La fábrica <MASK> causó daños importantes a los alrededores.
53,elephant,elefante,COGNATE,N,They saw an <MASK> at the zoo.,The large <MASK> used its trunk to grab food and water at the nature reserve.,Vieron una <MASK> en el zoológico.,La gran <MASK> usó su trompa para agarrar comida y agua en la reserva natural.
54,palace,palacio,COGNATE,N,They visited a historic <MASK> during their vacation.,The royal family lived in the grand <MASK> that overlooked the city.,Visitaron una <MASK> histórica durante sus vacaciones.,La familia real vivía en la gran <MASK> que dominaba la ciudad.
55,plate,plato,COGNATE,N,She placed the food on the <MASK>.,The decorative <MASK> was part of a fine china set used for special occasions.,Colocó la comida en la <MASK>.,La <MASK> decorativa formaba parte de un juego de porcelana fina utilizado para ocasiones especiales.
56,rock,roca,COGNATE,N,He threw the <MASK> into the river.,"The climbers carefully climbed the <MASK>, using only their hands and feet for support.",Arrojó la <MASK> al río.,"Los escaladores subieron con cuidado a la <MASK>, usando solo sus manos y pies como apoyo."
57,sofa,sofá,COGNATE,N,They bought a new <MASK> for the living room.,The plush <MASK> was so comfortable that they fell asleep on it while watching TV.,Compraron una nueva <MASK> para la sala.,La lujosa <MASK> era tan cómoda que se quedaron dormidos mientras miraban televisión.
58,catastrophe,catástrofe,COGNATE,N,The incident could have been a <MASK> if help hadn't arrived on time.,The earthquake was a natural <MASK> that left thousands homeless.,El incidente podría haber sido una <MASK> si la ayuda no hubiera llegado a tiempo.,El terremoto fue una <MASK> natural que dejó a miles de personas sin hogar.
59,chimney,chimenea,COGNATE,N,Thick smoke was rising from the <MASK>.,The old brick <MASK> was cleaned in preparation for winter.,Un humo espeso se elevaba desde la <MASK>.,El viejo ladrillo <MASK> se limpió en preparación para el invierno.
60,biography,biografía,COGNATE,N,She enjoyed reading the <MASK> of famous historical figures.,The <MASK> of the president offered new insights into his early life.,Le gustaba leer la <MASK> de personajes históricos famosos.,La <MASK> del presidente ofreció nuevos conocimientos sobre sus primeros años de vida.
61,autograph,autógrafo,COGNATE,N,He asked for her <MASK> after the performance.,The celebrity gave her <MASK> to every fan waiting outside the theater.,Le pidió su <MASK> después de la actuación.,La celebridad entregó su <MASK> a todos los fanáticos que esperaban afuera del teatro.
62,discrimination,discriminación,COGNATE,N,They had a conversation about <MASK> in the workplace.,The company implemented new policies to prevent <MASK> against minority groups.,Tuvieron una conversación sobre <MASK> en el lugar de trabajo.,La empresa implementó nuevas políticas para prevenir <MASK> contra grupos minoritarios.
63,family,familia,COGNATE,N,They spent the weekend visiting their <MASK> in the countryside.,"The <MASK> gathered around the dinner table, sharing stories and laughter during the holiday meal.",Pasaron el fin de semana visitando su <MASK> en el campo.,"La <MASK> se reunió alrededor de la mesa, compartiendo historias y risas durante la comida navideña."
64,identification,identificación,COGNATE,N,He showed his <MASK> at the front desk.,The security guard requested a valid form of <MASK> before letting them in.,Mostró su <MASK> en la recepción.,El guardia de seguridad solicitó una forma válida de <MASK> antes de dejarlos entrar.
65,information,información,COGNATE,N,She found the <MASK> she needed online.,The guidebook was full of useful <MASK> about local attractions and restaurants.,Encontró la <MASK> que necesitaba en línea.,La guía estaba llena de <MASK> útiles sobre atracciones y restaurantes locales.
66,hospital,hospital,COGNATE,N,She visited the <MASK> for a routine check-up. ,The <MASK> was equipped with state-of-the-art technology for critical surgeries.,Visitó la <MASK> para un chequeo de rutina.,La <MASK> estaba equipada con tecnología de última generación para cirugías críticas.
67,hotel,hotel,COGNATE,N,They stayed at a fancy <MASK> near the beach.,The luxurious <MASK> offered room service and had a stunning view of the ocean.,Se alojaron en una lujosa <MASK> cerca de la playa.,El lujoso <MASK> ofrecía servicio de habitaciones y tenía una vista impresionante del océano.
68,map,mapa,COGNATE,N,He used a <MASK> to find his way through the city.,The treasure hunters followed an ancient <MASK> that led them to hidden riches.,Usó una <MASK> para encontrar su camino a través de la ciudad.,Los cazadores de tesoros siguieron una antigua <MASK> que los llevó a riquezas ocultas.
69,medal,medalla,COGNATE,N,He received a <MASK> for participating in the race.,The athlete proudly wore his <MASK> during the award ceremony.,Recibió una <MASK> por participar en la carrera.,El atleta lució con orgullo su <MASK> durante la ceremonia de premiación.
70,magic,magia,COGNATE,N,The kids were fascinated by the <MASK> tricks at the birthday party.,"The wizard waved his wand, and with a burst of <MASK>, the once barren land turned into a lush, green forest.",Los niños quedaron fascinados con los trucos de <MASK> en la fiesta de cumpleaños.,"El mago agitó su varita y con un estallido de <MASK>, la tierra que alguna vez fue árida se convirtió en un bosque verde y exuberante."
71,disinterested,desinteresado,COGNATE,ADJ,He seemed <MASK> during the lecture.,"The teacher was <MASK> in the students' arguments, focusing solely on the subject matter.",Parecía <MASK> durante la conferencia.,"El profesor era <MASK> en los argumentos de los estudiantes, centrándose únicamente en el tema."
72,economic,económico,COGNATE,ADJ,The <MASK> report highlighted recent trends.,The <MASK> downturn affected many small businesses across the country.,El informe <MASK> destacó las tendencias recientes.,La crisis de <MASK> afectó a muchas pequeñas empresas en todo el país.
73,exact,exacto,COGNATE,ADJ,She was not sure about the <MASK> location of the meeting.,The scientist measured the <MASK> temperature needed for the experiment to succeed.,No estaba segura de la ubicación <MASK> de la reunión.,El científico midió la temperatura de la <MASK> necesaria para que el experimento tuviera éxito.
74,excited,excitado,COGNATE,ADJ,They were <MASK> about the upcoming concert.,The children were <MASK> when they learned they would be visiting the zoo.,Estaban <MASK> sobre el próximo concierto.,Los niños eran <MASK> cuando supieron que visitarían el zoológico.
75,exclusive,exclusivo,COGNATE,ADJ,The club offered <MASK> memberships.,The resort features <MASK> amenities for its high-paying guests.,El club ofrecía membresías <MASK>.,El complejo cuenta con comodidades <MASK> para sus huéspedes que pagan mucho.
76,false ,falso,COGNATE,ADJ,He made a <MASK> claim about his qualifications.,The detective uncovered <MASK> evidence that led the investigation astray.,Hizo un reclamo <MASK> sobre sus calificaciones.,El detective descubrió evidencia de <MASK> que desvió la investigación.
77,innocent,inocente,COGNATE,ADJ,The child looked <MASK> as she played with her toys.,"The <MASK> puppy wagged its tail, unaware of the trouble it had caused.",La niña parecía <MASK> mientras jugaba con sus juguetes.,"El cachorro <MASK> meneó la cola, sin darse cuenta del problema que había causado."
78,delicate,delicado,COGNATE,ADJ,The <MASK> fabric required special care when washing.,The <MASK> petals of the flower were easily damaged by the wind.,El tejido <MASK> requería especial cuidado al lavarlo.,Los pétalos de la <MASK> de la flor fueron fácilmente dañados por el viento.
79,simple,simple,COGNATE,ADJ,The instructions were very <MASK> to follow.,She preferred a <MASK> lifestyle that avoided unnecessary complications.,Las instrucciones eran muy <MASK> de seguir.,Prefería un estilo de vida <MASK> que evitaba complicaciones innecesarias.
80,invisible,invisible,COGNATE,ADJ,The outline was <MASK> under the paint.,The magician made the <MASK> ink appear with a special light.,El contorno era <MASK> debajo de la pintura.,El mago hizo aparecer la tinta <MASK> con una luz especial.
81,responsible,responsable,COGNATE,ADJ,He was <MASK> for managing the team’s schedule.,"As the <MASK> adult, she ensured everyone got home safely after the party.",Él era <MASK> para gestionar el calendario del equipo.,"Como <MASK> adulta, se aseguró de que todos llegaran sanos y salvos a casa después de la fiesta."
82,adorable,adorable,COGNATE,ADJ,The puppy was so <MASK> that everyone wanted to take it home.,The child’s <MASK> smile melted the hearts of everyone in the room.,El cachorro era tan <MASK> que todos querían llevárselo a casa.,La sonrisa <MASK> del niño derritió los corazones de todos en la sala.
83,experimental,experimental,COGNATE,ADJ,The researchers conducted an <MASK> study to test the hypothesis.,The <MASK> design aimed to find new ways to treat the disease.,Los investigadores realizaron un estudio <MASK> para probar la hipótesis.,El diseño de <MASK> tenía como objetivo encontrar nuevas formas de tratar la enfermedad.
84,original,original,COGNATE,ADJ,The artist created an <MASK> piece that shocked critics.,His <MASK> idea revolutionized the way people viewed modern art.,El artista creó una pieza <MASK> que sorprendió a los críticos.,Su idea <MASK> revolucionó la forma en que la gente veía el arte moderno.
85,interesting,interesante,COGNATE,ADJ,The book was so <MASK> that she couldn’t put it down.,The lecture covered <MASK> topics that engaged the students throughout.,El libro era tan <MASK> que no podía dejarlo.,La conferencia cubrió temas de <MASK> que involucraron a los estudiantes en todo momento.
86,miniature,miniatura,COGNATE,ADJ,He built a <MASK> model of the city for the project.,The <MASK> train set was carefully designed to replicate the real thing.,Construyó un modelo <MASK> de la ciudad para el proyecto.,El conjunto de trenes <MASK> fue cuidadosamente diseñado para replicar el modelo real.
87,professional,profesional,COGNATE,ADJ,She always maintained a <MASK> demeanor in the office.,His <MASK> attitude made him a respected leader among his peers.,Ella siempre mantuvo una conducta <MASK> en la oficina.,Su actitud <MASK> lo convirtió en un líder respetado entre sus compañeros.
88,allergic,alérgico,COGNATE,ADJ,He discovered he was <MASK> to peanuts.,The <MASK> reaction left her with hives and difficulty breathing.,Descubrió que era <MASK> hasta los cacahuetes.,La reacción de <MASK> la dejó con urticaria y dificultad para respirar.
89,contagious,contagioso,COGNATE,ADJ,"The disease was declared <MASK>, prompting a health alert.",The <MASK> illness spread quickly among the unvaccinated population.,"La enfermedad fue declarada <MASK>, lo que provocó una alerta sanitaria.",La enfermedad <MASK> se propagó rápidamente entre la población no vacunada.
90,adjustable,ajustable,COGNATE,ADJ,The table had an <MASK> height feature.,The <MASK> seat allowed users to find their most comfortable position.,La mesa tenía una característica de altura <MASK>.,El asiento <MASK> permitió a los usuarios encontrar su posición más cómoda.
91,different,diferente,COGNATE,ADJ,They lived in a <MASK> neighborhood than before.,Each <MASK> style of art reflected the culture of its time.,Vivían en un barrio <MASK> que antes.,Cada estilo de arte <MASK> reflejaba la cultura de su época.
92,enormous,enorme,COGNATE,ADJ,The <MASK> dog barked loudly at the mailman.,The <MASK> building dominated the skyline of the city.,El perro <MASK> le ladró fuerte al cartero.,El edificio <MASK> dominaba el horizonte de la ciudad.
93,famous,famoso,COGNATE,ADJ,She wore a <MASK> designer dress to the gala.,The artist is known for his <MASK> paintings that capture the essence of modern life.,Ella usó un vestido del diseñador <MASK> para la gala.,El artista es conocido por sus pinturas <MASK> que capturan la esencia de la vida moderna.
94,abstract,abstracto,COGNATE,ADJ,The painting had an <MASK> quality that intrigued viewers.,The <MASK> concepts discussed in the seminar were challenging yet enlightening.,La pintura tenía una cualidad de <MASK> que intrigaba a los espectadores.,Los conceptos de <MASK> discutidos en el seminario fueron desafiantes pero esclarecedores.
95,important,importante,COGNATE,ADJ,It’s <MASK> to address these issues as soon as possible.,Her contributions to the project were <MASK> in achieving the final goal.,Es <MASK> abordar estos problemas lo antes posible.,Sus contribuciones al proyecto fueron <MASK> para lograr el objetivo final.
96,incredible,increíble,COGNATE,ADJ,The magician performed an <MASK> trick that amazed the audience.,It was an <MASK> experience to see the Northern Lights in person.,El mago realizó un truco de <MASK> que asombró a la audiencia.,Fue una experiencia <MASK> ver la aurora boreal en persona.
97,magnificient,magnífico,COGNATE,ADJ,The view from the top of the mountain was <MASK>.,The palace had <MASK> architecture that left visitors in awe.,La vista desde la cima de la montaña era <MASK>.,El palacio tenía una arquitectura <MASK> que dejaba asombrados a los visitantes.
98,permanent,permanente,COGNATE,ADJ,The tattoo was a <MASK> reminder of her travels.,He decided to make a <MASK> change to his lifestyle after the health scare.,El tatuaje era un <MASK> recordatorio de sus viajes.,Decidió hacer un cambio <MASK> en su estilo de vida después del problema de salud.
99,rich,rico,COGNATE,ADJ,The house was owned by a <MASK> family.,"She came from a <MASK> background, which allowed her many opportunities in life.",La casa era propiedad de una familia <MASK>.,"Provenía de <MASK>, lo que le permitió muchas oportunidades en la vida."
100,terrible,terrible,COGNATE,ADJ,The movie received <MASK> reviews from critics.,It was a <MASK> mistake to ignore the warnings about the storm.,La película recibió <MASK> críticas de los críticos.,Fue un error de <MASK> ignorar las advertencias sobre la tormenta.
101,agreeable,agradable,COGNATE,ADJ,He was known for his <MASK> personality and easy-going nature.,The <MASK> weather made it a perfect day for a picnic in the park.,Era conocido por su personalidad <MASK> y su naturaleza tranquila.,El clima de <MASK> lo convirtió en un día perfecto para hacer un picnic en el parque.
102,arduous,arduo,COGNATE,ADJ,The <MASK> journey tested their strength and determination.,Climbing the <MASK> mountain took them several days to complete.,El viaje de <MASK> puso a prueba su fuerza y ​​determinación.,Escalar la montaña <MASK> les llevó varios días.
103,attractive,atractivo,COGNATE,ADJ,The flowers in the garden were <MASK> to bees and butterflies.,She wore a beautiful dress that was <MASK> to everyone at the party.,Las flores del jardín eran <MASK> para las abejas y las mariposas.,Llevaba un hermoso vestido que era <MASK> para todos en la fiesta.
104,absurd,absurdo,COGNATE,ADJ,His reasoning seemed <MASK> given the evidence.,It was an <MASK> situation that left everyone scratching their heads.,Su razonamiento parecía <MASK> dada la evidencia.,Fue una situación de <MASK> que dejó a todos rascándose la cabeza.
105,circular,circular,COGNATE,ADJ,She drew a <MASK> shape on the paper.,The design featured a <MASK> pattern that drew attention to the center.,Dibujó una forma de <MASK> en el papel.,El diseño presentaba un patrón <MASK> que llamaba la atención hacia el centro.
106,ironic,irónico,COGNATE,ADJ,The situation had an <MASK> twist that surprised everyone.,It was <MASK> that the fire station burned down while they were out on a call.,La situación tuvo un giro <MASK> que sorprendió a todos.,Fue <MASK> la que quemó la estación de bomberos mientras estaban en una llamada.
107,conditional,condicional,COGNATE,ADJ,The contract included <MASK> clauses that needed to be met.,His acceptance was <MASK> on the successful completion of the project.,El contrato incluía cláusulas <MASK> que debían cumplirse.,Su aceptación fue <MASK> por la finalización exitosa del proyecto.
108,abundant,abundante,COGNATE,ADJ,There was an <MASK> supply of food at the festival.,"The garden produced an <MASK> harvest this year, far exceeding expectations.",Hubo un suministro de comida <MASK> en el festival.,"El jardín produjo una cosecha de <MASK> este año, superando con creces las expectativas."
109,necessary,necesario,COGNATE,ADJ,Proper nutrition is <MASK> for maintaining good health.,It is <MASK> to wear a helmet when riding a bike for safety.,Una nutrición adecuada es <MASK> para mantener una buena salud.,Es <MASK> usar casco al andar en bicicleta por seguridad.
110,imaginary,imaginario,COGNATE,ADJ,The child’s <MASK> friend often accompanied him on adventures.,She painted a picture of an <MASK> world filled with dragons and castles.,La amiga <MASK> del niño solía acompañarlo en sus aventuras.,Pintó un cuadro de un mundo <MASK> lleno de dragones y castillos.
111,questionable,cuestionable,COGNATE,ADJ,The evidence for the claim was <MASK> at best.,"His motives were <MASK>, raising suspicions among the team.",La evidencia para el reclamo era <MASK> en el mejor de los casos.,"Sus motivos eran <MASK>, levantando sospechas entre el equipo."
112,ordinary,ordinario,COGNATE,ADJ,She led an <MASK> life in the capital city.,The <MASK> day turned extraordinary when they found a lost puppy.,Llevó una vida <MASK> en la ciudad capital.,El día de <MASK> se volvió extraordinario cuando encontraron un cachorro perdido.
113,primary,primario,COGNATE,ADJ,The <MASK> objective of the meeting was to discuss budget cuts.,"The <MASK> colors are red, blue, and yellow.",El objetivo de <MASK> de la reunión era discutir los recortes presupuestarios.,"Los colores de <MASK> son rojo, azul y amarillo."
