ID,en,en_meaning,de,de_meaning,type,lexical_category,
17,statue,"a three-dimensional representation usually of a person, animal, or mythical being that is produced by sculpturing, modeling, or casting",statue,"sculptural figure, statue",COGNATE,N,
18,fable,a fictitious narrative or statement,fabel,"in the imagination, invented, fictitious",COGNATE,N,
19,orchestra,a group of musicians including especially string players organized to perform ensemble music,orchester,"large, unified community by instrumentalists who perform musical works together under the direction of a conductor",COGNATE,N,
20,banana,an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind,banane,"tasty, elongated, yellow fruit of the tropics, harvested in large bunches",COGNATE,N,
21,book,"a set of written, printed, or blank sheets bound together between a front and back cover",buch,"self-contained printed work with hard cover, which serves to convey intellectual and cultural ideas",COGNATE,N,
22,garden,"a plot of ground where herbs, fruits, flowers, or vegetables are cultivated",garten,"cultivated, usually demarcated area, terrain",COGNATE,N,
23,calendar,a tabular register of days according to a system usually covering one year and referring the days of each month to the days of the week,kalender,"List of the individual days, weeks and months of a year in their chronological order",COGNATE,N,
24,cat,a carnivorous mammal (Felis catus) long domesticated as a pet and for catching rats and mice,katze,Family of felids from the order of carnivores with several (partly already extinct) subfamilies,COGNATE,N,
25,university,an institution of higher learning providing facilities for teaching and research and authorized to grant academic degrees; specifically : one made up of an undergraduate division which confers bachelor's degrees and a graduate division which comprises a graduate school and professional schools each of which may confer master's degrees and doctorates,universität,scientific teaching and research facility that covers many different scientific fields,COGNATE,N,
26,elegance,dignified gracefulness or restrained beauty of style : polish,eleganz,"tasteful, fashionable sophistication",COGNATE,N,
27,mother,a female parent,mutter,Woman in relation to her child and especially in relation of the child to her,COGNATE,N,
28,market,a meeting together of people for the purpose of trade by private purchase and sale and usually not by auction,markt,"Sphere of trade in goods, totality of transactions of purchase and sale",COGNATE,N,
29,microscope,an optical instrument consisting of a lens or combination of lenses for making enlarged images of minute objects; especially : compound microscope,mikroskop,optical device through which one can see the smallest objects greatly magnified,COGNATE,N,
30,vision,"a thought, concept, or object formed by the imagination",vision,"often an image concerning the future that only exists in someone's imagination, face, appearance",COGNATE,N,
31,tea,"a widely cultivated shrub (Camellia sinensis of the family Theaceae, the tea family) native to China, northern India, and southeastern Asia and having glossy green leaves and fragrant white flowers",tee,dried parts of plants intended for the manufacture of a beverage,COGNATE,N,
32,theory,a plausible or scientifically acceptable general principle or body of principles offered to explain phenomena,theorie,"logical-systematic summary and generalization of knowledge about an area of ​​reality, the connections of which are reflected in an explanatory and justifiable manner",COGNATE,N,
33,medicine,"the science and art dealing with the maintenance of health and the prevention, alleviation, or cure of disease",medizin,"Science that deals with the detection, prevention, treatment and cure of diseases",COGNATE,N,
34,sofa,a long upholstered seat usually with arms and a back and often convertible into a bed,sofa,Upholstered piece of furniture for sitting or lying down with backrest and side rests,COGNATE,N,
35,sock,a knitted or woven covering for the foot usually worn under shoes and extending above the ankle and sometimes to the knee,socke,"Stocking that reaches about halfway down the lower leg or ends not far above the ankle, especially for men",COGNATE,N,
36,glass,a usually transparent or translucent material consisting typically of a mixture of silicates,glas,"transparent, brittle material made from a molten mixture of silica and metal oxides that breaks easily",COGNATE,N,
37,bus,a large motor vehicle designed to carry passengers usually along a fixed route according to a schedule,bus,Passenger cars (serving as public transport) for a large number of passengers,COGNATE,N,
38,justice,judge; especially : a judge of an appellate court or court of last resort (as a supreme court) —used as a title,justiz,Authority ensuring compliance with the legal system,COGNATE,N,
39,license,a permission granted by competent authority to engage in a business or occupation or in an activity otherwise unlawful,lizenz,"legally binding authority granted to an entrepreneur, businessman against payment",COGNATE,N,
40,respect,a relation or reference to a particular thing or situation,respekt,"the respect shown to someone because of his performance, his character traits, his age",COGNATE,N,
41,result,"to proceed or arise as a consequence, effect, or conclusion",resultat,the logical conclusion,COGNATE,N,
42,balloon,a nonporous bag of light material that can be inflated especially with air or gas.,ballon,"large ball filled with air, gas",COGNATE,N,
43,beer,"a carbonated, fermented alcoholic beverage that is usually made from malted cereal grain (especially barley), is flavored with hops, and typically contains less than a 5% alcohol content",bier,"A spicy alcoholic beverage made from malt, hops, yeast and water by fermentation",COGNATE,N,
44,canal,"channel, watercourse",kanal,artificial watercourse,COGNATE,N,
45,candidate,"one that aspires to or is nominated or qualified for an office, membership, or award",kandidat,someone who has applied for a position or office and is considered for it,COGNATE,N,
46,generation,a body of living beings constituting a single step in the line of descent from an ancestor,generation,"individual member of the lineage, distinguishing between grandparents, parents, children and grandchildren",COGNATE,N,
47,concert,a public performance (as of music or dancing),konzert,public performance of musical works,COGNATE,N,
48,religion,"a personal set or institutionalized system of religious attitudes, beliefs, and practices",religion,"Belief in supposed supernatural powers, beings, especially gods or a god as creator and ruler of the world and mankind as well as the corresponding cultic worship",COGNATE,N,
49,siren,a device often electrically operated for producing a penetrating warning sound,sirene,"Device for generating loud, long-lasting (howling) sounds that serve as signals, alarm signals, warning signals",COGNATE,N,
50,tunnel,a covered passageway; specifically : a horizontal passageway through or under an obstruction,tunnel,"long, tubular, underground traffic route",COGNATE,N,
51,elephant,"a thickset, usually extremely large, nearly hairless, herbivorous mammal (family Elephantidae, the elephant family) that has a snout elongated into a muscular trunk and two incisors in the upper jaw developed especially in the male into long ivory tusks.",elefant,"A giant, only living proboscis animal native to Africa and India with thick grey skin, drooping ears and long white ivory tusks",COGNATE,N,
52,diamond,"native crystalline carbon that is the hardest known mineral, that is usually nearly colorless, that when transparent and free from flaws is highly valued as a precious stone, and that is used industrially especially as an abrasive; also : a piece of this substance",diamant,"A precious, mostly colorless, clear gemstone made of modified carbon that strongly refracts light and is the hardest of all natural materials. It is mainly used for jewelry or industrially for drilling, cutting and grinding tools.",COGNATE,N,
53,discussion,consideration of a question in open and usually informal debate,diskussion,"Exchange of opinions, debate",COGNATE,N,
54,discipline,control gained by enforcing obedience or order,disziplin,"Order, discipline, to which someone submits",COGNATE,N,
55,clown,"a fool, jester, or comedian in an entertainment (such as a play)",clown,"Jester (in the circus, variety show)",COGNATE,N,
56,family,the basic unit in society traditionally consisting of two parents rearing their children; also : any of various social units differing from but regarded as equivalent to the traditional family,familie,private way of life in which people of at least two generations are connected to one another through individually and socially shaped role structures or relationships of cooperation and solidarity,COGNATE,N,
57,athlete,"a person who is trained or skilled in exercises, sports, or games requiring physical strength, agility, or stamina",athelet,"a person who is trained or skilled in exercises, sports, or games requiring physical strength, agility, or stamina",COGNATE,N,
58,figure,Structures made of lines or surfaces,figur,"a geometric form (such as a line, triangle, or sphere) especially when considered as a set of geometric elements (such as points) in space of a given number of dimensions",COGNATE,N,
59,nation,a community of people composed of one or more nationalities and possessing a more or less defined territory and government,nation,"historically grown, ideal and constitutional community of the citizens of a country",COGNATE,N,
60,fact,something that has actual existence,fakt,verifiable fact,COGNATE,N,
61,factor,one who acts or transacts business for another,faktor,"contributing circumstance, contributing force",COGNATE,N,
62,analysis,a statement of such an examination,analyse,dissecting investigation,COGNATE,N,
63,anatomy,a branch of morphology that deals with the structure of organisms,anatomie,Science of the structure of the (human) body and its organs,COGNATE,N,
64,architect,a person who designs buildings and advises in their construction,architekt,Person (with higher education) who designs buildings professionally,COGNATE,N,
65,experiment,"test, trial",experiment,(scientific) experiment,COGNATE,N,
66,archaeology,"the scientific study of material remains (such as tools, pottery, jewelry, stone walls, and monuments) of past human life and activities",archäologie,Science of non-written finds from antiquity,COGNATE,N,
67,barrier,something material that blocks or is intended to block passage,barriere,Barrier for closure,COGNATE,N,
68,shock,sudden stimulation of the nerves and convulsive contraction of the muscles caused by the discharge of electricity through the animal body,schock,"Dysfunction of the nervous system in response to a sudden, strong shock",COGNATE,N,
69,industry,systematic labor especially for some useful purpose or the creation of something of value,industrie,Enterprises in which consumer goods and capital goods are manufactured and raw materials are extracted on the basis of large-scale machine production; branch of the national economy which includes all of these enterprises,COGNATE,N,
70,instrument,a device used to produce music; also : a singing voice,instrument,"Device, object with which music is made",COGNATE,N,
71,regular,"constituted, conducted, scheduled, or done in conformity with established or prescribed usages, rules, or discipline",regulär,"according to the rule, order, proper, correct",COGNATE,ADJ,
72,social,marked by or passed in pleasant companionship with friends or associates,sozial,"the context, the coexistence of people in society",COGNATE,ADJ,
73,blond,"of a flaxen, golden, light auburn, or pale yellowish-brown color; also : having blond hair —spelled blond when used of a boy or man and often blonde when used of a girl or woman",blond,yellowish hair ; golden shimmer; blond-haired,COGNATE,ADJ,
74,local,characterized by or relating to position in space : having a definite spatial form or location,lokal,"local, limited to one place",COGNATE,ADJ,
75,ideal,existing as a mental image or in fancy or imagination only,ideal,"perfect, exemplary, exemplary",COGNATE,ADJ,
76,unconventional,not conventional : not bound by or in accordance with convention : being out of the ordinary,unkonventionell,completely different from the conventional,COGNATE,ADJ,
77,warm,having or giving out heat to a moderate or adequate degree,warm,of moderately high temperature,COGNATE,ADJ,
78,wild,living in a state of nature and not ordinarily tame or domesticated,wild,"not tamed, free-living",COGNATE,ADJ,
79,elegant,marked by elegance,elegant,Fashionable and tasteful,COGNATE,ADJ,
80,creative,marked by the ability or power to create : given to creating,kreativ,creating new things with new ideas,COGNATE,ADJ,
81,acceptable,capable or worthy of being accepted,akzeptabel,"to accept, acknowledge, agree",COGNATE,ADJ,
82,active,producing or involving action or movement,aktiv,in opposite meaning to passive,COGNATE,ADJ,
83,new,"having recently come into existence : recent, modern",neu,only recently established,COGNATE,ADJ,
84,exclusive,excluding or having power to exclude,exklusiv,self-contained,COGNATE,ADJ,
85,exact,to call for forcibly or urgently and obtain,exakt,"exact, punctual, perfect",COGNATE,ADJ,
86,false.,not genuine,falsch,"fake, artificial (deceptively imitated)",COGNATE,ADJ,
87,passive,acted upon by an external agency,passiv,in opposite meaning to active,COGNATE,ADJ,
88,popular,of or relating to the general public,popular,of or relating to the general public,COGNATE,ADJ,
89,best,excelling all others,besten,"of impeccable quality, excellent, flawless",COGNATE,ADJ,
90,effective,"producing a decided, decisive, or desired effect",effectiv,"often regardless of the resources used) (with regard to achieving a goal, fulfilling a task, solving a task, etc.) of optimal effectiveness, great impact",COGNATE,ADJ,
91,elastic,capable of recovering size and shape after deformation,elastisch,such that something gives way when force is applied to it and returns to its original shape when the force is removed,COGNATE,ADJ,
92,dumb,lacking intelligence : stupid,dumm,without sense,COGNATE,ADJ,
93,intelligent,having or indicating a high or satisfactory degree of intelligence and mental capacity,intelligent,"clever, smart, talented",COGNATE,ADJ,
94,international,"of, relating to, or affecting two or more nations",international,"concerning a majority or totality of states, nations, interstate",COGNATE,ADJ,
95,legal,of or relating to law,legal,"according to the law, legally",COGNATE,ADJ,
96,brown,having the color of wood or chocolate; especially : of the color brown,braun,"Mixed color of yellow, red and black",COGNATE,ADJ,
97,gray,of the color gray,grau,Mixed color of black and white,COGNATE,ADJ,
98,old,dating from the remote past : ancient,alt,"indicates the age, the years of life",COGNATE,ADJ,
99,fat,notable for having an unusual amount of fat,fett,"rich in fat, high in fat",COGNATE,ADJ,
100,good,of a favorable character or tendency,gut,"of extensive quantity, abundant",COGNATE,ADJ,
101,young,"being in the first or an early stage of life, growth, or development",jung,at a young age,COGNATE,ADJ,
102,cold,having or being a temperature that is uncomfortably low for humans,kalt,containing little or no heat,COGNATE,ADJ,
103,hard,not easily penetrated : not easily yielding to pressure,hart,"firm, not yielding to pressure",COGNATE,ADJ,
104,fresh,having its original qualities unimpaired,frisch,"new, not yet old",COGNATE,ADJ,
105,emotional,of or relating to emotion,emotional,"excitement, emotion",COGNATE,ADJ,
106,blind,sightless,blind,without sight,COGNATE,ADJ,
107,excellent,very good of its kind : eminently good,exzellent,"excellent, excellent",COGNATE,ADJ,
108,logical,"of, relating to, involving, or being in accordance with logic",logisch,according to the rules of logic,COGNATE,ADJ,
109,official,one who holds or is invested with an office ,offiziell,"directly emanating from a superior authority, a government, an authority, officially",COGNATE,ADJ,
110,sunny,marked by brilliant sunlight : full of sunshine,sonnig,illuminated by the sun,COGNATE,ADJ,
111,practical,"of, relating to, or manifested in practice or action : not theoretical or ideal",praktisch,"expedient, useful",COGNATE,ADJ,
112,fantastic,based on fantasy : not real,fantastisch,"existing only in the imagination, based on imagination",COGNATE,ADJ,
113,hungry,feeling an uneasy or painful sensation from lack of food : feeling hunger,hungrig,"having a strong desire, eager to eat",COGNATE,ADJ,
114,normal,"conforming to a type, standard, or regular pattern : characterized by that which is considered usual, typical, or routine",normal,"usual, usual",COGNATE,ADJ,
115,tolerant,"willing to accept the beliefs, feelings, habits, or behaviors of another group, culture, etc. as legitimate even when they differ from one's own",tolerant,"(in questions of religious, political or similar beliefs, the lifestyle of others) willing to accept a different view, attitude, customs, habits or similar",COGNATE,ADJ,
116,modern,"of, relating to, or characteristic of the present or the immediate past : contemporary",modern,emerged in recent times,COGNATE,ADJ,
117,digital,"of, relating to, or utilizing devices constructed or working by the methods or principles of electronics : electronic; also : characterized by electronic and especially computerized technology",digital,based on the conversion of signals into sequences of binary characters; using the corresponding technology,COGNATE,ADJ,
118,parallel,"extending in the same direction, everywhere equidistant, and not meeting",parallel,"running in the same direction and at the same distance from one another, located at the same distance from one another at all points",COGNATE,ADJ,
119,irrational,not rational: such as lacking usual or normal mental clarity or coherence,irrational,incomprehensible to the mind,COGNATE,ADJ,
120,liberal,"inclined to be open to ideas and ways of behaving that are not conventional or traditional : broad-minded, tolerant",liberal,"based on the principles of (political, economic) liberalism, shaped by them, representing them",COGNATE,ADJ,
121,perfect,being entirely without fault or defect : flawless,perfekt,fully trained,COGNATE,ADJ,
122,political,"of or relating to government, a government, or the conduct of government",politisch,"concerning politics, in the field of politics",COGNATE,ADJ,
123,potential,existing in possibility : capable of development into actuality,potenziell,"possible, the facility, possibility available",COGNATE,ADJ,
124,blue,of the color whose hue is that of the clear sky : of the color blue,blau,Color of the solar spectrum between green and violet,COGNATE,ADJ,
125,better,greater than half,besser,see also good,COGNATE,ADJ,
126,ripe,fully grown and developed : mature,reif,fully grown and developed : mature,COGNATE,ADJ,
127,bitter,"being, inducing, or marked by the one of the five basic taste sensations that is peculiarly acrid, astringent, and often disagreeable and characteristic of citrus peels, unsweetened cocoa, black coffee, mature leafy greens (such as kale or mustard), or ale",bitter,like the taste of bile,COGNATE,ADJ,
128,green,of the color green,grün,Color of the solar spectrum between yellow and blue,COGNATE,ADJ,
129,cool,moderately cold : lacking in warmth,kühl,"a little cold, fresh",COGNATE,ADJ,
130,white,having the color of new snow or milk; specifically : of the color white,weiß,"of the lightest color, reflecting all visible colors",COGNATE,ADJ,
131,windy,marked by strong wind or by more wind than usual,windig,"with wind, full air movement",COGNATE,ADJ,
132,alone,separated from others : isolated,allein,"lonely, without company",COGNATE,ADJ,
133,broad,having ample extent from side to side or between limits,breit,indicates the extent of a surface in the transverse direction,COGNATE,ADJ,
134,free,enjoying civil and political liberty,frei,independent,COGNATE,ADJ,
135,hasty,done or made in a hurry,hastig,full of haste,COGNATE,ADJ,
136,naked,not covered by clothing : nude,nackt,unclothed,COGNATE,ADJ,
137,sour,"being, inducing, or marked by the one of the five basic taste sensations that is produced chiefly by acids and is characteristic of lemon juice",sauer,"contracting the mucous membranes of the mouth and secreting a lot of saliva, tasting like a lemon or vinegar",COGNATE,ADJ,
138,sharp,adapted to cutting or piercing: such as having a thin keen edge or fine point,scharf,good cutting; in opposite meaning to blunt,COGNATE,ADJ,
139,high,"rising or extending upward a great distance : taller than average, usual, or expected",hoch,"refers to the extension, distance of an object from bottom to top perpendicular to the ground",COGNATE,ADJ,
140,national,of or relating to a nation,national,"with regard to a nation, concerning a nation",COGNATE,ADJ,
141,preservative,having the power of preserving,präservativ,(especially in relation to diseases) preventive ; prophylactic,FALSE COGNATE,N,
142,axle,a pin or shaft on or with which a wheel or pair of wheels revolves,achsel,"Shoulder, shoulder joint",FALSE COGNATE,N,
143,acre,"any of various units of area; specifically : a unit in the U.S. and England equal to 43,560 square feet (4047 square meters)",acker,"cultivated agricultural land, (ploughed) field",FALSE COGNATE,N,
144,arch,a typically curved structural member spanning an opening and serving as a support (as for the wall or other weight above the opening),arche,ark; as in box-like ship in which Noah found refuge from the flood with his family and a pair of animals,FALSE COGNATE,N,
145,easel,a frame for supporting something (such as an artist's canvas),esel,"A domestic animal belonging to the equine genus that is smaller than a horse and has long ears, a short mane and usually grey fur",FALSE COGNATE,N,
146,fabric,a material that resembles cloth,fabrik,(smaller) uniformly managed production facility where materials are processed or prepared in large quantities and goods are manufactured through the cooperation of numerous workers and the use of machines,FALSE COGNATE,N,
147,fire,"the phenomenon of combustion manifested in light, flame, and heat",feier,festive event occasioned by a (happy) event,FALSE COGNATE,N,
148,floss,soft thread of silk or mercerized cotton for embroidery,flosse,"fan-like, membranous movement organ or control organ of fish and aquatic mammals, which in fish is usually supported by cartilaginous or bony rays",FALSE COGNATE,N,
149,geniality,marked by or freely expressing sympathy or friendliness,genialität,"creative talent of genius, intellectually productive creative power",FALSE COGNATE,N,
150,grip,to seize or hold firmly,grippe,"acute infectious disease associated with (high) fever and muscle and joint pain, influenza",FALSE COGNATE,N,
151,hole,a hollowed-out place,höhle,"large, hollow, unfilled space in the earth or between rocks; as in cave",FALSE COGNATE,N,
152,eagle,"any of various large diurnal birds of prey (family Accipitridae) noted for their strength, size, keenness of vision, and powers of flight",egel,"Annelid with a flattened, strongly ringed body and a sucker at each end, which lives as a parasite mainly in shallow water",FALSE COGNATE,N,
153,kiss,to touch (someone or something) with the lips especially as a mark of affection or greeting,kissen,"bag, sack filled with soft, fluffy material that warms and cushions a hard bed",FALSE COGNATE,N,
154,kitchen,a place (such as a room) with cooking facilities —often used before another noun,kittchen,"prison, jail",FALSE COGNATE,N,
155,cot,a small usually collapsible bed often of fabric stretched on a frame,kot,"Dirt, softened earth on paths and roads",FALSE COGNATE,N,
156,cup,an open usually bowl-shaped drinking vessel,kuppe,rounded upper part of a finger; fingertip,FALSE COGNATE,N,
157,lock,a fastening (as for a door) operated by a key or a combination,lok,locomotive,FALSE COGNATE,N,
158,prank,trick: a malicious act,pranke,"Front paw, especially of large predators",FALSE COGNATE,N,
159,pregnancy,the quality of being pregnant (as in meaning),prägnanz,"conciseness, succintness",FALSE COGNATE,N,
160,rank,relative standing or position,ranke,"tendril, shoot of a vine or a plant",FALSE COGNATE,N,
161,side,the right or left part of the wall or trunk of the body,seide,Thread made from the cocoon of the silkworm,FALSE COGNATE,N,
162,siege,a military blockade of a city or fortified place to compel it to surrender,sieg,successful outcome of a fight achieved by completely defeating the opponent,FALSE COGNATE,N,
163,strife,bitter sometimes violent conflict or dissension,streife,"Unit, group of people, usually security or law enforcement officers, who are on the move in a specific area to ensure security and order or to carry out specific tasks",FALSE COGNATE,N,
164,stool,a seat usually without back or arms supported by three or four legs or by a central pedestal,stuhl,Seating for one person with a backrest and usually four legs,FALSE COGNATE,N,
165,trap,a device for taking game or other animals; especially : one that holds by springing shut suddenly,trappe,"medium-sized, clumsy but persistent flying, long-legged bird that feeds mainly on plants and builds its nest on the ground",FALSE COGNATE,N,
166,treasure,"wealth (such as money, jewels, or precious metals) stored up or hoarded",tresor,"Safe in which money, valuables, documents , etc. are kept",FALSE COGNATE,N,
167,whip,"to take, pull, snatch, jerk, or otherwise move very quickly and forcefully",wippe,"that is tiltably mounted on a stand in the middle , on both ends of which one sits and swings up and down",FALSE COGNATE,N,
168,resin,"any of various solid or semisolid amorphous fusible flammable natural organic substances that are usually transparent or translucent and yellowish to brown, are formed especially in plant secretions, are soluble in organic solvents (such as ether) but not in water, are electrical nonconductors, and are used chiefly in varnishes, printing inks, plastics, and sizes and in medicine",rosine,dried grapes,FALSE COGNATE,N,
169,rent,a usually fixed periodical return made by a tenant or occupant of property to the owner for the possession and use thereof; especially : an agreed sum paid at fixed intervals by a tenant to the landlord,rente,Amount of money to which someone is entitled on the basis of previous payments into a statutory or private insurance scheme after reaching a certain retirement age,FALSE COGNATE,N,
170,bean,the seed of any of various erect or climbing plants (as of the genera Phaseolus and Vigna) of the legume family other than the fava bean,biene,"social insect of the genus Apis that has a sting, pollinates flowers and produces honey and wax and is often kept as a livestock",FALSE COGNATE,N,
171,clip,"any of various devices that grip, clasp, or hook",klippe,large rock rising out of the sea,FALSE COGNATE,N,
172,ass,any of several hardy gregarious (see gregarious sense 1a) African or Asian perissodactyl mammals (genus Equus) smaller than the horse and having long ears,as,an ace (the card or the serve),FALSE COGNATE,N,
173,back,the rear part of the human body especially from the neck to the end of the spine,backe,"bilateral part of the face located between the nose, cheekbone and lower jaw",FALSE COGNATE,N,
174,baggage,"suitcases, trunks, and personal belongings of travelers : luggage",bagage,"bad company
",FALSE COGNATE,N,
175,ban,"to prohibit especially by legal means; also : to prohibit the use, performance, or distribution of",bann,"magical power, magical bondage",FALSE COGNATE,N,
176,barrack,a building or set of buildings used especially for lodging soldiers in garrison —usually used in plural,baracke,"hut, shack, especially in slum areas",FALSE COGNATE,N,
177,beast,a contemptible person,biest,little wretch or brat,FALSE COGNATE,N,
178,blend,mix; especially : to combine or associate so that the separate constituents or the line of demarcation cannot be distinguished,blende,Device of a lens for regulating exposure,FALSE COGNATE,N,
179,bone,one of the hard parts of the skeleton of a vertebrate,bohne,"A species-rich vegetable plant from the Fabaceae family, which is widely cultivated in our gardens, either bushy or winding up on sticks, as its long, hanging fruits and kidney-shaped seeds are popular to eat",FALSE COGNATE,N,
180,brand,a class of goods identified by name as the product of a single firm or manufacturer,brand,"dangerous fire that causes damage, destroys or annihilates something",FALSE COGNATE,N,
181,bucket,"a typically cylindrical vessel for catching, holding, or carrying liquids or solids",bukett,bouquet of flowers,FALSE COGNATE,N,
182,chore,the regular or daily light work of a household or farm,chor,a group of people singing together,FALSE COGNATE,N,
183,clue,something that guides through an intricate procedure or maze of difficulties; specifically : a piece of evidence that leads one toward the solution of a problem,clou,"highlight, high point, climax",FALSE COGNATE,N,
184,disgust,marked aversion aroused by something highly distasteful : repugnance,degustation,"testing, tasting and tasting food and drinks (especially wine) in terms of smell and taste",FALSE COGNATE,N,
185,device,a piece of equipment or a mechanism designed to serve a special purpose or perform a special function,devise,"Motto, motto, slogan",FALSE COGNATE,N,
186,dome,a large hemispherical roof or ceiling,dom,"magnificent church, bishop's church with large choir, Münster",FALSE COGNATE,N,
187,dose,the measured quantity of a therapeutic agent to be taken at one time,dose,"small, usually round vessel",FALSE COGNATE,N,
188,fart,to expel intestinal gas from the anus,fahrt,"Journey, trip",FALSE COGNATE,N,
189,flint,a massive hard dark quartz that produces a spark when struck by steel,flinte,Hunting rifle with one or two non-rifled barrels for shot,FALSE COGNATE,N,
190,flock,a group of animals (such as birds or sheep) assembled or herded together,flocke,"small, loose structure from snow, snowflake",FALSE COGNATE,N,
191,actual,existing in fact or reality,aktuell,"currently present, significant for the immediate present, related to the present, close to the present, timely, contemporary",FALSE COGNATE,ADJ,
192,brave,"having or showing mental or moral strength to face danger, fear, or difficulty : having or showing courage",brav,"obedient; from a child: well-behaved; of a soldier: brave, courageous",FALSE COGNATE,ADJ,
193,curious,marked by desire to investigate and learn,kurios,"strange, peculiar, odd",FALSE COGNATE,ADJ,
194,ordinary,"of a kind to be expected in the normal order of events : routine, usual",ordinär,rude and indecent,FALSE COGNATE,ADJ,
195,pathetic,having a capacity to move one to either compassionate or contemptuous pity,pathetisch,full of pathos,FALSE COGNATE,ADJ,
196,sensible,"having, containing, or indicative of good sense or reason : rational, reasonable",sensibel,of particular sensitivity ; easily influenced emotionally ; sensitive,FALSE COGNATE,ADJ,
197,sympathetic,"existing or operating through an affinity, interdependence, or mutual association",sympathisch,"likeable, congenial",FALSE COGNATE,ADJ,
198,frivolous,of little weight or importance,frivol,Violating customs and morals,FALSE COGNATE,ADJ,
199,ghostly,"of, relating to, or having the characteristics of a ghost : spectral",geistlich,"spiritual, religious, also clerical, ecclesiastical",FALSE COGNATE,ADJ,
200,gracious,marked by kindness and courtesy,graziös,"with grace, graceful",FALSE COGNATE,ADJ,
201,guilty,"justly chargeable with or responsible for a usually grave breach of conduct or a crime
suggesting or involving guilt
aware of or suffering from guilt",gültig,"valid, acceptable",FALSE COGNATE,ADJ,
202,happy,favored by luck or fortune : fortunate,happig,"expensive, steep",FALSE COGNATE,ADJ,
203,costly,commanding a high price especially because of intrinsic worth,köstlich,very tasty and refreshing,FALSE COGNATE,ADJ,
204,pregnant,"containing a developing embryo, fetus, or unborn offspring within the body : gravid",prägnant,expressing the essentials briefly and accurately,FALSE COGNATE,ADJ,
205,lusty,"full of strength and vitality : healthy, vigorous",lustig,"funny, amusing",FALSE COGNATE,ADJ,
206,restless,lacking or denying rest : uneasy,restlos,"without remainder, completely",FALSE COGNATE,ADJ,
207,slim,of small diameter or thickness in proportion to the height or length : slender,schlimm,"bad, evil, nasty",FALSE COGNATE,ADJ,
208,sinful,"tainted with, marked by, or full of sin : wicked",sinnvoll,"filled with a specific intellectual content, with a recognizable meaning",FALSE COGNATE,ADJ,
209,adroit,"having or showing skill, cleverness, or resourcefulness in handling situations",adrett,"clean, tidy, proper",FALSE COGNATE,ADJ,
210,adequate,sufficient for a specific need or requirement; also : good enough : of a quality that is good or acceptable : of a quality that is acceptable but not better than acceptable,adäquat,"appropriate, appropriate",FALSE COGNATE,ADJ,
