ID,en,de,type,lexical_category,low_en,high_en,low_de,high_de
67,barrier,barriere,COGNATE,N,The <MASK> was hard to overcome alone.,The diplomatic talks broke down due to a cultural <MASK> that hindered mutual understanding and collaboration.,Die <MASK> war alleine schwer zu überwinden.,"Die diplomatischen Gespräche scheiterten an einer kulturellen <MASK>, die das gegenseitige Verständnis und die Zusammenarbeit behinderte."
68,shock,schock,COGNATE,N,"The <MASK> was intense, but not surprising.","The <MASK> from hearing about the accident was overwhelming and paralyzing, leaving everyone in disbelief.","Die <MASK> war intensiv, aber nicht überraschend.","Die <MASK>, als ich von dem Unfall hörte, war überwältigend und lähmend und ließ alle ungläubig zurück."
69,industry,industrie,COGNATE,N,The tech <MASK> is growing rapidly.,"The fashion <MASK> is notorious for its fast-paced trends and environmental impact, prompting a shift towards sustainable practices.",Die Technologie <MASK> wächst rasant.,Die Mode <MASK> ist für ihre rasanten Trends und Umweltauswirkungen berüchtigt und führt zu einem Wandel hin zu nachhaltigen Praktiken.
70,instrument,instrument,COGNATE,N,She played a musical <MASK>.,"The violin is a complex <MASK>, requiring years of practice and precision to master its subtle techniques.",Sie spielte ein Musical <MASK>.,"Die Geige ist eine komplexe <MASK>, die jahrelange Übung und Präzision erfordert, um ihre subtilen Techniken zu beherrschen."
71,regular,regulär,COGNATE,ADJ,He likes a <MASK> coffee every morning.,"The <MASK> train schedule was disrupted due to a mechanical issue, causing widespread delays for commuters.",Er mag jeden Morgen einen <MASK>-Kaffee.,"Der Fahrplan des <MASK>-Zugs wurde aufgrund eines mechanischen Problems unterbrochen, was zu erheblichen Verspätungen für Pendler führte."
72,social,sozial,COGNATE,ADJ,They enjoy <MASK> gatherings on weekends.,His <MASK> behavior at the formal event was scrutinized closely by the company’s board members.,Am Wochenende genießen sie <MASK>-Treffen.,Sein <MASK>-Verhalten bei der offiziellen Veranstaltung wurde von den Vorstandsmitgliedern des Unternehmens genau unter die Lupe genommen.
73,blond,blond,COGNATE,ADJ,She has <MASK> hair.,"The model’s <MASK> hair shone under the bright lights of the runway, making her the center of attention.",Sie hat <MASK>-Haare.,Die <MASK>-Haare des Models leuchteten unter den hellen Lichtern des Laufstegs und machten sie zum Mittelpunkt der Aufmerksamkeit.
74,local,lokal,COGNATE,ADJ,He visits the <MASK> market often.,The <MASK> government passed a new ordinance to regulate street vendors and support small businesses in the community.,Er besucht den <MASK>-Markt oft.,Die <MASK>-Regierung hat eine neue Verordnung zur Regulierung von Straßenverkäufern und zur Unterstützung kleiner Unternehmen in der Gemeinde verabschiedet.
75,ideal,ideal,COGNATE,ADJ,It was an <MASK> day for a picnic.,"The architect designed an <MASK> house that combined sustainability, style, and comfort in a perfect balance.",Es war ein <MASK>-Tag für ein Picknick.,"Der Architekt entwarf ein <MASK>-Haus, das Nachhaltigkeit, Stil und Komfort in perfekter Balance vereint."
76,unconventional,unkonventionell,COGNATE,ADJ,His <MASK> style is unique.,The <MASK> artist shocked the gallery crowd with an installation that challenged traditional notions of art and beauty.,Sein <MASK>-Stil ist einzigartig.,"Der <MASK>-Künstler schockierte das Galeriepublikum mit einer Installation, die traditionelle Vorstellungen von Kunst und Schönheit in Frage stellte."
77,warm,warm,COGNATE,ADJ,The room was not very <MASK>.,"After a long walk in the snow, the <MASK> fire in the cabin provided a much-needed comfort.",Das Zimmer war nicht sehr <MASK>.,Nach einem langen Spaziergang im Schnee sorgte das <MASK>-Feuer in der Hütte für die dringend benötigte Behaglichkeit.
78,wild,wild,COGNATE,ADJ,The forest is <MASK>.,"The <MASK> animals roamed freely through the dense jungle, far from human habitation.",Der Wald ist <MASK>.,"Die <MASK>-Tiere streiften frei durch den dichten Dschungel, fernab menschlicher Behausung."
79,elegant,elegant,COGNATE,ADJ,She looked <MASK> in the dress.,"The <MASK> décor of the ballroom, with its chandeliers and fine drapery, added to the opulence of the evening.",Sie sah in dem Kleid <MASK> aus.,Die <MASK>-Dekoration des Ballsaals mit Kronleuchtern und edlen Vorhängen trug zur Opulenz des Abends bei.
80,creative,kreativ,COGNATE,ADJ,He is <MASK> with his projects.,The designer’s <MASK> use of recycled materials in fashion gained recognition at the international show.,Er ist <MASK> mit seinen Projekten.,Die Verwendung von recycelten Materialien durch den Designer <MASK> in der Mode fand auf der internationalen Messe Anerkennung.
81,acceptable,akzeptabel,COGNATE,ADJ,The proposal she presented was <MASK>.,"Her <MASK> performance met the basic requirements for the job, but it didn’t impress the hiring manager.",Der von ihr vorgelegte Vorschlag war <MASK>.,"Ihre <MASK>-Leistung erfüllte die Grundvoraussetzungen für die Stelle, beeindruckte den Personalchef jedoch nicht."
82,active,aktiv,COGNATE,ADJ,She stays <MASK> throughout the day.,His <MASK> involvement in the charity led to significant improvements in local community services.,Sie bleibt den ganzen Tag <MASK>.,Sein <MASK>-Engagement für die Wohltätigkeitsorganisation führte zu erheblichen Verbesserungen der örtlichen Gemeindedienste.
83,new,neu,COGNATE,ADJ,The <MASK> student joined the class.,The <MASK> policy on waste reduction aims to cut landfill use by 30% over the next decade.,Der <MASK>-Schüler ist der Klasse beigetreten.,"Die <MASK>-Politik zur Abfallreduzierung zielt darauf ab, den Deponieverbrauch im nächsten Jahrzehnt um 30 % zu senken."
84,exclusive,exklusiv,COGNATE,ADJ,He was told that the club is <MASK>.,The <MASK> members-only club required a steep fee and personal referrals for admission.,"Ihm wurde gesagt, dass der Verein <MASK> sei.","Der <MASK>-Club, der nur Mitgliedern vorbehalten ist, verlangte für die Aufnahme eine hohe Gebühr und persönliche Empfehlungen."
85,exact,exakt,COGNATE,ADJ,The measurements were <MASK>.,The architect insisted on <MASK> specifications for the building's foundation to ensure it could withstand earthquakes.,Die Messungen waren <MASK>.,"Der Architekt bestand auf <MASK>-Spezifikationen für das Fundament des Gebäudes, um sicherzustellen, dass es Erdbeben standhält."
86,false.,falsch,COGNATE,ADJ,The statement was <MASK>.,"The media exposed the politician’s <MASK> claim about tax reforms, leading to a public apology.",Die Anweisung war <MASK>.,"Die Medien enthüllten die <MASK>-Behauptung des Politikers zu Steuerreformen, was zu einer öffentlichen Entschuldigung führte."
87,passive,passiv,COGNATE,ADJ,His responses were <MASK>.,Her <MASK> demeanor during the heated debate caused her to be overlooked by the more assertive speakers.,Seine Antworten waren <MASK>.,"Ihr <MASK>-Verhalten während der hitzigen Debatte führte dazu, dass sie von den selbstbewussteren Rednern übersehen wurde."
