ID,en,en_meaning,fr,fr_meaning,type,lexical_category
54,temperature,degree of hotness or coldness measured on a definite scale,température,sensation of heat or cold experienced by the body in a place,COGNATE,N
55,poem,a composition in verse,poème,free orchestral compositions on a poetic subject,COGNATE,N
56,region,"an administrative area, division, or district",région,administrative division of the national territory ,COGNATE,N
57,ingredient,something that enters into a compound or is a component part of any combination or mixture : constituent,ingrédient,substance which enters into the composition of a mixture,COGNATE,N
58,theatre,a building or area for dramatic performances,théâtre,"stage, building intended for performances of works related to dramatic art",COGNATE,N
59,salad,raw greens (such as lettuce) often combined with other vegetables and toppings and served especially with dressing,salade,dishes made with this plant and a seasoning,COGNATE,N
60,park,a piece of ground in or near a city or town kept for ornament and recreation,parc,public garden or large wooded garden surrounding a residence,COGNATE,N
61,situation,the way in which something is placed in relation to its surroundings,situation,"position, emplacement, localisation",COGNATE,N
62,rose,"any of a genus (Rosa of the family Rosaceae, the rose family) of usually prickly shrubs with pinnate leaves and showy flowers having five petals in the wild state but being often double or partly double under cultivation",rose,"flowering plant, from the mallow family ",COGNATE,N
63,cereal,a prepared foodstuff of grain (such as oatmeal or cornflakes),céréale,food made from cereal flakes ,COGNATE,N
64,person,"human, individual —sometimes used in combination especially by those who prefer to avoid man in compounds applicable to both sexes",personne,"human being, individual",COGNATE,N
65,cyclist,one who rides a cycle,cycliste,bicycle user,COGNATE,N
66,anniversary,the annual recurrence of a date marking a notable event,anniversaire,reminder of an event that occurred on this day one or more years ago or that occurred this year one or more centuries ago,COGNATE,N
67,abundance,an ample quantity : an abundant amount : profusion,abondance,large quantity,COGNATE,N
68,arrogance,an attitude of superiority manifested in an overbearing manner or in presumptuous claims or assumptions,arrogance,"pride, haughty behavior",COGNATE,N
69,captain,a military leader : the commander of a unit or a body of troops,capitaine,"military officer of rank higher than lieutenant, lower than major  ",COGNATE,N
70,ceremony,"a formal act or series of acts prescribed by ritual, protocol, or convention",cérémonie,"social worship, commemoration of an event",COGNATE,N
71,acrobatic,"relating to or suggestive of an acrobat or acrobatics : performed with leaps, body contortions, or other maneuvers requiring the great athleticism of an acrobat",acrobatique,relating to the skill exercises of an acrobat,COGNATE,ADJ
72,active,producing or involving action or movement,active,"performing an action, playing a role, who acts ",COGNATE,ADJ
73,ambitious,"having or controlled by ambition : having a desire to be successful, powerful, or famous",ambitieux,"having ambition, wanting to succeed",COGNATE,ADJ
74,allergic,"of, relating to, affected with, or caused by allergy",allergique,related to allergy,COGNATE,ADJ
75,brutal,"suitable to one who lacks intelligence, sensitivity, or compassion : befitting a brute.",brutal,"which acts brutally, harshly, violently, coarsely",COGNATE,ADJ
76,ceramic,"of or relating to the manufacture of any product (such as earthenware, porcelain, or brick) made essentially from a nonmetallic mineral (such as clay) by firing at a high temperature; also : of or relating to such a product",céramique,"relating to the manufacture of objects in terracotta, porcelain, stoneware, glass, etc. and to these objects",COGNATE,ADJ
77,circular,having the form of a circle : round,circulaire,having or recalling the shape of a circle,COGNATE,ADJ
78,contagious,transmissible by direct or indirect contact with an infected person,contagieux,"relating to contagion, capable of transmitting a disease by contagion",COGNATE,ADJ
79,delicate,requiring careful handling,délicat,sensitive and fragile to external influences for one thing,COGNATE,ADJ
80,delicious,affording great pleasure : delightful,délicieux,"very pleasant, bringing extreme pleasure",COGNATE,ADJ
81,enormous,"marked by extraordinarily great size, number, or degree; especially : exceeding usual bounds or accepted notions",énorme,"that goes beyond the usual limits (a huge battle, a huge injustice)",COGNATE,ADJ
82,exotic,introduced from another country : not native to the place where found,exotique,"which belongs to foreign, distant, different countries",COGNATE,ADJ
83,extraordinary,"going beyond what is usual, regular, or customary",extraordinaire,that is out of the ordinary,COGNATE,ADJ
84,ferocious,exhibiting or given to extreme fierceness and unrestrained violence and brutality,féroce,which is of relentless cruelty,COGNATE,ADJ
85,fragile,easily broken or destroyed,fragile,easy to break,COGNATE,ADJ
86,generous,liberal in giving : openhanded,généreux,"who is selfless, who has a big heart, who gives generously",COGNATE,ADJ
87,impossible,incapable of being or of occurring,impossible,"which cannot be, which cannot be done",COGNATE,ADJ
88,interesting,holding the attention : arousing interest,intéressant,which is worthy of interest,COGNATE,ADJ
89,juvenile,"of, relating to, characteristic of, or suitable for children or young people",juvénile,"which is specific to youth, composed of young people",COGNATE,ADJ
90,magnificent,great in deed or exalted in place —used only of former famous rulers,magnifique,"beautiful, sumptuous, remarkable, of great quality",COGNATE,ADJ
91,nervous,easily excited or irritated : jumpy,nerveux,"which concerns the nerves, the basis of mental balance",COGNATE,ADJ
92,ordinary,"of a kind to be expected in the normal order of events : routine, usual",ordinaire,"common, common",COGNATE,ADJ
93,rich,having abundant possessions and especially material wealth,riche,who has a large fortune,COGNATE,ADJ
94,special,readily distinguishable from others of the same category : unique,spécial,"which corresponds to a single thing, in the broad sense",COGNATE,ADJ
95,terrible,extremely bad: such as notably unattractive or objectionable,terrible,"in the strong sense, which inspires terror",COGNATE,ADJ
96,venomous,producing venom in a specialized gland and capable of inflicting injury or death,venimeux,refers to animals that have venom (a toxic liquid) and the means to inject it     ,COGNATE,ADJ
97,arbitrary,based on or determined by individual preference or convenience rather than by necessity or the intrinsic nature of something,arbitraire,"depending on the choices of a given person, to decisions with no other basis than their good will",COGNATE,ADJ
98,curious,marked by desire to investigate and learn,curieux,"wanting to know, wanting to understand",COGNATE,ADJ
99,different,"partly or totally unlike in nature, form, or quality : dissimilar",différent,"having a difference, not similar",COGNATE,ADJ
100,gracious,"characterized by charm, good taste, generosity of spirit, and the tasteful leisure of wealth and good breeding",gracieux,"who has a lot of grace, charm, beauty",COGNATE,ADJ
101,glorious,possessing or deserving glory,glorieux,which provides a lot of prestige     ,COGNATE,ADJ
102,incurable,not curable; broadly : not likely to be changed or corrected,incurable,which cannot be cured,COGNATE,ADJ
103,invisible,incapable by nature of being seen : not perceptible by vision,invisible,"which is not visible, which escapes sight or knowledge ",COGNATE,ADJ
104,magnetic,possessing an extraordinary power or ability to attract,magnétique,which possesses a mysterious power of attraction or influence,COGNATE,ADJ
105,notable,worthy of note : remarkable,notable,"remarquable, important",COGNATE,ADJ
106,automatic,largely or wholly involuntary; especially : reflex,automatique,carried out without human intervention  ,COGNATE,ADJ
107,horrible,extremely bad or unpleasant,horrible,which causes a feeling of fear and repulsion     ,COGNATE,ADJ
108,absolute,"being, governed by, or characteristic of a ruler or authority completely free from constitutional or other restraint",absolu,"complete, without any restraint   ",COGNATE,ADJ
109,dangerous,"involving possible injury, pain, harm, or loss : characterized by danger",dangereux,"which constitutes a danger, perilous  ",COGNATE,ADJ
110,entire,having no element or part left out : whole,entier,"which is complete, in its extent",COGNATE,ADJ
111,clear,"bright, luminous",clair,"which has shine, which is luminous    ",COGNATE,ADJ
112,simple,free from guile : innocent,simple,"who is frank, natural, unpretentious",COGNATE,ADJ
113,gradual,"moving, changing, or developing by fine or often imperceptible degrees",graduel,which increases or decreases by degrees   ,COGNATE,ADJ
114,dramatic,of or relating to drama,dramatique,"relating to theater, tragedy",COGNATE,ADJ
115,traditional,of or relating to tradition : consisting of or derived from tradition,traditionnel,"based on tradition, on a tradition, a set of practices, ideas, knowledge, etc. transmitted from generation to generation   ",COGNATE,ADJ
116,regular,"constituted, conducted, scheduled, or done in conformity with established or prescribed usages, rules, or discipline",régulier,in accordance with legal provisions ,COGNATE,ADJ
117,important,marked by or indicative of significant worth or consequence : valuable in content or relationship,important,"which has an interest, which is considerable",COGNATE,ADJ
118,perfect,being entirely without fault or defect : flawless,parfait,"who possesses all the qualities, who is without fault ",COGNATE,ADJ
119,fabulous,"resembling or suggesting a fable : of an incredible, astonishing, or exaggerated nature",fabuleux,"amazing, extraordinary, fantastic   ",COGNATE,ADJ
120,legal,of or relating to law,légal,"which is in accordance with the laws, designated by the law  ",COGNATE,ADJ
121,immense,marked by greatness especially in size or degree,immense,"which is immeasurable, enormous",COGNATE,ADJ
122,popular,adapted to or indicative of the understanding and taste of the majority,populaire,"from the people, belonging to the people",COGNATE,ADJ
123,imaginary,existing only in imagination : lacking factual reality,imaginaire,which exists only in the imagination,COGNATE,ADJ
124,vacant,"not occupied by an incumbent, possessor, or officer",vacant,"which is not busy, free",COGNATE,ADJ
125,romantic,"having an inclination for romance : responsive to the appeal of what is idealized, heroic, or adventurous",romantique,"which speaks to the sensitivity, invites reverie",COGNATE,ADJ
126,practical,"of, relating to, or manifested in practice or action : not theoretical or ideal",pratique,"which concerns the concrete, the experience",COGNATE,ADJ
127,deficient,lacking in some necessary quality or element,déficient,with a physical or mental disability   ,COGNATE,ADJ
128,evident,clear to the vision or understanding,évident,which imposes itself on the mind with certainty (an obvious logic) ,COGNATE,ADJ
129,decisive,having the power or quality of deciding,décisif,"which decides, which makes definitive ",COGNATE,ADJ
130,applicable,capable of or suitable for being applied : appropriate,applicable,that can be applied ,COGNATE,ADJ
131,diligent,"characterized by steady, earnest, and energetic effort : painstaking",diligent,acting quickly and efficiently ,COGNATE,ADJ
132,optimistic,"of, relating to, or characterized by optimism : feeling or showing hope for the future",optimiste,relating to optimism,COGNATE,ADJ
133,typical,combining or exhibiting the essential characteristics of a group,typique,"specific to a group (plant, animal) ",COGNATE,ADJ
134,real,"not artificial, fraudulent, or illusory : genuine",réel,which exists or has existed in reality,COGNATE,ADJ
135,precise,exactly or sharply defined or stated,précis,"certain, exact, sure, rigorous",COGNATE,ADJ
136,patient,bearing pains or trials calmly or without complaint,patient,who shows patience ,COGNATE,ADJ
137,splendid,possessing or displaying splendor,splendide,of great beauty,COGNATE,ADJ
138,inseparable,incapable of being separated or disjoined,inséparable,which cannot be separated,COGNATE,ADJ
139,contrary,a fact or condition incompatible with another : opposite,contraire,"inverse, as different as possible ",COGNATE,ADJ
140,ethical,involving or expressing moral approval or disapproval,éthique,which concerns morality and its principles   ,COGNATE,ADJ
141,advertisement,a public notice; especially : a paid notice that is published or broadcast (as to attract customers or to provide information of public interest),avertissement,"act of warning, of attracting attention   ",FALSE COGNATE,N
142,bag,"a usually flexible container that may be closed for holding, storing, or carrying something.",bague,ring worn on the finger,FALSE COGNATE,N
143,candour,the quality of being open and honest; frankness.,candeur,"innocence, purity, lack of distrust   ",FALSE COGNATE,N
144,cart,a heavy usually horse-drawn 2-wheeled vehicle used for farming or transporting freight,carte,"document issued by an administration, an association or a geographical map",FALSE COGNATE,N
145,clock,a device other than a watch for indicating or measuring time commonly by means of hands moving on a dial; broadly : any periodic system by which time is measured,cloque,"blister of the epidermis due to significant heating, a burn",FALSE COGNATE,N
146,cloak,a loose outer garment,cloaque,mass of stagnant water in a natural depression    ,FALSE COGNATE,N
147,commodity,an economic good.,commodité,"quality of what is convenient, practical, efficient    ",FALSE COGNATE,N
148,conservatory,a greenhouse for growing or displaying plants,conservatoire,place of preservation of cultural traditions ,FALSE COGNATE,N
149,deception,the act of causing someone to accept as true or valid what is false or invalid : the act of deceiving,déception,"the fact of being disappointed, of not having seen events unfold favorably, according to one's hopes  ",FALSE COGNATE,N
150,dresser,a table or sideboard for preparing and serving food,dresseur,"one who trains animals, who subjects them",FALSE COGNATE,N
151,fabric,a material that resembles cloth,fabrique,"factory, company transforming raw materials into products for sale",FALSE COGNATE,N
152,gender,"Group to which human beings of each sex belong , understood from a sociocultural point of view rather than an exclusively biological one.",gendre,name of the husband in relation to the father or mother of his wife   ,FALSE COGNATE,N
153,hate,"intense hostility and aversion usually deriving from fear, anger, or sense of injury",hâte,being in a hurry and lacking time,FALSE COGNATE,N
154,bullet,a round or elongated missile (as of lead) to be fired from a firearm,boulet,canon-ball,FALSE COGNATE,N
155,journey,something suggesting travel or passage from one place to another,journée,day marked by a special event     ,FALSE COGNATE,N
156,land,the solid part of the surface of the earth; also : a corresponding part of a celestial body (such as the moon),lande,"area of ​​land where only gorse, heather and broom grow   ",FALSE COGNATE,N
157,lecturer,"a person who gives lectures, especially as an occupation at a university or college of higher education.",lecteur,he who reads,FALSE COGNATE,N
158,library,"a place in which literary, musical, artistic, or reference materials (such as books, manuscripts, recordings, or films) are kept for use but not for sale.",librairie,book store     ,FALSE COGNATE,N
159,lodger,one who occupies a rented room in another's house,logeur,one who rents furnished rooms   ,FALSE COGNATE,N
160,luxury,a condition of abundance or great ease and comfort : sumptuous environment,luxure,"unrestrained pursuit of sexual pleasures, debauchery ",FALSE COGNATE,N
161,medicine,a substance or preparation used in treating disease,médecin,"person who practices medicine, science which studies and treats diseases   ",FALSE COGNATE,N
162,nap,to sleep briefly especially during the day : doze,nappe,cloth with which we cover a table     ,FALSE COGNATE,N
163,novel,an invented prose narrative that is usually long and complex and deals especially with human experience through a usually connected sequence of events.,nouvelle,"short story, piece of news",FALSE COGNATE,N
164,pool,a small and rather deep body of usually fresh water,poule,"farmyard bird, female of the rooster, of the order Gallinacea   ",FALSE COGNATE,N
165,petulance,the quality or state of being petulant : peevishness,pétulance,"liveliness, exuberance",FALSE COGNATE,N
166,glaze,a mixture mostly of oxides (such as silica and alumina) applied to the surface of ceramic wares to form a moisture-impervious and often lustrous or ornamental coating,glaise,fatty clay used to make pottery and tiles        ,FALSE COGNATE,N
167,jest,a joking or mocking remark,geste,"action and movement of the body, especially the arms and hands",FALSE COGNATE,N
168,corn,a small hard particle : grain,corne,pointed projection growing on the skull of many ruminants and on the snout of the rhinoceros,FALSE COGNATE,N
169,blanket,a large usually oblong piece of woven fabric used as a bed covering,blanquette,a meat (usually veal) stew with white sauce,FALSE COGNATE,N
170,tutor,a person charged with the instruction and guidance of another,tuteur,the person responsible for protecting the interests of a minor child ,FALSE COGNATE,N
171,triviality,the quality or state of being trivial,trivialité,coarseness or vulgarity,FALSE COGNATE,N
172,trick,a crafty procedure or practice meant to deceive or defraud,trique,large stick used as a weapon   ,FALSE COGNATE,N
173,traitor,one who betrays another's trust or is false to an obligation or duty,traiteur,"person who prepares dishes, meals, to take away or deliver them to the home  ",FALSE COGNATE,N
174,target,a mark to shoot at,targette,"small, flat, keyless lock that is operated using a button     ",FALSE COGNATE,N
175,scheme,a plan or program of action; especially : a crafty or secret one,schème,"schema, sometimes design (art)",FALSE COGNATE,N
176,rosary,a string of beads used in counting prayers especially of the Roman Catholic rosary,roseraie,a place of pleasure planted with rose bushes ,FALSE COGNATE,N
177,riddle,"a mystifying, misleading, or puzzling question posed as a problem to be solved or guessed : conundrum, enigma",ridelle,slatted side (of truck),FALSE COGNATE,N
178,rest,"repose, sleep; specifically : a bodily state characterized by minimal functional and metabolic activities",reste,"that which remains after having removed something from a whole (one or more objects, money, time, etc.)",FALSE COGNATE,N
179,reply,to respond in words or writing,repli,"doubled, forming a double fold   ",FALSE COGNATE,N
180,rape,"unlawful sexual activity and usually sexual intercourse carried out forcibly or under threat of injury against a person's will or with a person who is beneath a certain age or incapable of valid consent because of mental illness, mental deficiency, intoxication, unconsciousness, or deception",râpe,utensil used to reduce to powder or fragments ,FALSE COGNATE,N
181,raffle,a lottery in which the prize is won by one of numerous persons buying chances,rafle,mass arrests made unexpectedly by the police ,FALSE COGNATE,N
182,quill,"a bobbin, spool, or spindle on which filling yarn is wound",quille,"axial part of the lower part of the hull of a ship, going from the stem to the sternpost ",FALSE COGNATE,N
183,patent,an official document conferring a right or privilege,patente,a licence for carrying on some trade or the tax paid to do so ,FALSE COGNATE,N
184,flick,a light sharp jerky stroke or movement,flic,a popular word for a policeman or cop,FALSE COGNATE,N
185,lock,a fastening (as for a door) operated by a key or a combination,loquet,"simple device, consisting of a pivoting rod which locks into a fixed housing  ",FALSE COGNATE,N
186,loop,a curving or doubling of a line so as to form a closed or partly open curve within itself through which another line can be passed or into which a hook may be hooked,loupe,magnifying glass,FALSE COGNATE,N
187,leg,a limb of an animal used especially for supporting the body and for walking.,legs,legacy,FALSE COGNATE,N
188,jug,"a large deep container (as of glass, earthenware, or plastic) with a narrow mouth and a handle",joug,piece of wood used to harness oxen,FALSE COGNATE,N
189,jacket,"a garment for the upper body usually having a front opening, collar, lapels, sleeves, and pockets",jacquet,game similar to backgammon   ,FALSE COGNATE,N
190,inconvenience,something that is inconvenient,inconvenance,unseemliness,FALSE COGNATE,N
191,actual,existing in fact or reality,actuel,"current, topical, present-day",FALSE COGNATE,ADJ
192,dishonest,"shameful, unchaste",déshonnête,"which is not honest, in accordance with modesty, good morals, improper   ",FALSE COGNATE,ADJ
193,genial,marked by or freely expressing sympathy or friendliness,génial,"who has genius, talent to create things of exceptional quality  ",FALSE COGNATE,ADJ
194,gentle,"free from harshness, sternness, or violence",gentil,"kind, agreeable, accommodating  ",FALSE COGNATE,ADJ
195,jolly,full of high spirits : joyous,joli,"pretty, nice to see",FALSE COGNATE,ADJ
196,luxurious,"characterized by opulence, sumptuousness, or rich abundance : of, relating to, or marked by luxury",luxurieux,"which denotes lust, an unrestrained search for sexual pleasures",FALSE COGNATE,ADJ
197,miserable,being in a pitiable state of distress or unhappiness (as from want or shame),misérable,"destitute, disinherited",FALSE COGNATE,ADJ
198,livid,very angry : enraged,livide,"white, pale",FALSE COGNATE,ADJ
199,candid,marked by honest sincere expression,candide,"ingenuous, artless, naive",FALSE COGNATE,ADJ
200,blessed,honored in worship,blessé,who has one or more injuries    ,FALSE COGNATE,ADJ
201,vulgar,"lacking in cultivation, perception, or taste : coarse",vulgaire,"ordinary, shared by the common people, widespread",FALSE COGNATE,ADJ
202,vivacious,"lively in temper, conduct, or spirit : sprightly",vivace,able to live a long time,FALSE COGNATE,ADJ
203,villainous,befitting a villain (as in evil or depraved character),vilain,"vile, who has contemptible feelings",FALSE COGNATE,ADJ
204,lunatic,affected with a severely disordered state of mind,lunatique,"capricious, temperamental, moody",FALSE COGNATE,ADJ
205,sympathetic,"existing or operating through an affinity, interdependence, or mutual association",sympathique,"which is pleasant, charming",FALSE COGNATE,ADJ
206,replete,fully or abundantly provided or filled,replet,"plump, overweight   ",FALSE COGNATE,ADJ
207,mystifying,"to perplex the mind of : bewilder
to make mysterious or obscure",mystifiant,misleading or deceptive,FALSE COGNATE,ADJ
208,abusive,characterized by wrong or improper use or action,abusif,"improper, overdone, unjustified, misconceived",FALSE COGNATE,ADJ
209,adept,thoroughly proficient : expert,adepte,"partisan, member of a brotherhood, a society, a fairly closed group ",FALSE COGNATE,ADJ
210,adequate,sufficient for a specific need or requirement; also : good enough : of a quality that is good or acceptable : of a quality that is acceptable but not better than acceptable,adéquat,"corresponding exactly to its destination, appropriate, suitable",FALSE COGNATE,ADJ
211,alterable,to make different without changing into something else,altérable,"liable to deteriorate, worsen",FALSE COGNATE,ADJ
212,altered,"made different in some way
castrated",altéré,"faded of colours, drawn of features, faltering, broken",FALSE COGNATE,ADJ
213,blind,having less than 1/10 of normal vision in the more efficient eye when refractive defects are fully corrected by lenses,blindé,"armoured, with armour plating, with protective reinforcement",FALSE COGNATE,ADJ
214,defiant,"full of or showing a disposition to challenge, resist, or fight : full of or showing defiance : bold, impudent",défiant,"lacking confidence, fearing being deceived, suspicious ",FALSE COGNATE,ADJ
215,disgraceful,bringing or involving disgrace,disgracieux,"lacking courtesy, awkward, ungracious",FALSE COGNATE,ADJ
216,droll,"having a humorous, whimsical, or funny quality",drôle,"funny, strange, comical",FALSE COGNATE,ADJ
217,poisonous,"destructive, harmful",empoisonnant,very annoying,FALSE COGNATE,ADJ
218,extenuating,"tending to lessen the real or apparent seriousness of something (such as a crime, offense, or fault) : providing a partial justification or excuse for something —usually used in the phrase extenuating circumstances",exténuant,"which exhausts, which weakens",FALSE COGNATE,ADJ
219,fast,"characterized by quick motion, operation, or effect",faste,lucky or favorable to certain occupations (said of a date),FALSE COGNATE,ADJ
220,"characterized by a meticulous, sensitive, or demanding attitude",extremely or excessively careful or detailed,fastidieux,which is off-putting due to its monotony,FALSE COGNATE,ADJ
221,foolish,"having or showing a lack of good sense, judgment, or discretion",fou,affected by mental disorders,FALSE COGNATE,ADJ
222,gross,glaringly noticeable usually because of inexcusable badness or objectionableness,gros,"fat, which has a lot of volume",FALSE COGNATE,ADJ
