ID,en,fr,type,lexical_category,low_en,high_en,low_fr,high_fr
25,salary,salaire,COGNATE,N,She received a higher <MASK> after her promotion.,"The CEO’s <MASK> was a subject of public debate, as many argued it was disproportionately high compared to the workers' wages.",Elle a reçu un <MASK> plus élevé après sa promotion.,"Le <MASK> du PDG a fait l’objet d’un débat public, car beaucoup ont affirmé qu’il était disproportionné par rapport aux salaires des travailleurs."
26,trumpet,trompette,COGNATE,N,He played the <MASK> in the school band.,"The <MASK> solo in the symphony brought the audience to its feet, showcasing the musician’s incredible talent.",Il jouait du <MASK> dans l'orchestre de l'école.,"Le solo <MASK> de la symphonie a mis le public debout, mettant en valeur l’incroyable talent du musicien."
27,television,télévision,COGNATE,N,"The <MASK> flickered in the dark room, casting shifting shadows on the walls.","The live <MASK> broadcast of the presidential debate drew millions of viewers, influencing public opinion.","Le <MASK> vacillait dans la pièce sombre, projetant des ombres changeantes sur les murs.","La diffusion en direct <MASK> du débat présidentiel a attiré des millions de téléspectateurs, influençant l'opinion publique."
28,tomato,tomate,COGNATE,N,He added a slice of <MASK> to his sandwich.,"The garden-fresh <MASK>, picked at the peak of ripeness, added a burst of flavor to the salad.",Il a ajouté une tranche de <MASK> à son sandwich.,"Le <MASK> frais du jardin, cueilli au sommet de sa maturité, a ajouté une explosion de saveur à la salade."
29,accident,accident,COGNATE,N,The car <MASK> was reported on the news.,"The <MASK> at the construction site caused a significant delay in the project, prompting an investigation into safety protocols.",La voiture <MASK> a été rapportée aux informations.,"Le <MASK> sur le chantier de construction a provoqué un retard important dans le projet, ce qui a donné lieu à une enquête sur les protocoles de sécurité."
30,activity,activité,COGNATE,N,The event was filled with fun <MASK>.,"The children’s <MASK> book was packed with puzzles, coloring pages, and educational games.",L’événement a été rempli de plaisir <MASK>.,"Le livre pour enfants <MASK> regorgeait d’énigmes, de pages à colorier et de jeux éducatifs."
31,lamp,lampe,COGNATE,N,She turned on the <MASK> to read.,"The antique <MASK> cast a warm, golden glow over the room, adding a touch of elegance to the decor.",Elle a allumé le <MASK> pour lire.,"L'antique <MASK> projette une lueur chaleureuse et dorée sur la pièce, ajoutant une touche d'élégance au décor."
32,biography,biographie,COGNATE,N,He enjoyed reading the <MASK> of his favorite author.,The <MASK> of the renowned scientist detailed her groundbreaking discoveries and the challenges she faced in a male-dominated field.,Il aimait lire le <MASK> de son auteur préféré.,Le <MASK> de la scientifique de renom a détaillé ses découvertes révolutionnaires et les défis auxquels elle a été confrontée dans un domaine dominé par les hommes.
33,history,histoire,COGNATE,N,She loved learning about <MASK> in school.,"The <MASK> of the Roman Empire is a tale of conquest, politics, and cultural influence that shaped much of the modern world.",Elle adorait en apprendre davantage sur <MASK> à l'école.,"Le <MASK> de l'Empire romain est une histoire de conquête, de politique et d'influence culturelle qui a façonné une grande partie du monde moderne."
34,cafeteria,cafétéria,COGNATE,N,They ate lunch at the school <MASK>.,"The <MASK> served a variety of nutritious meals, catering to students with different dietary needs.",Ils ont déjeuné à l'école <MASK>.,"Le <MASK> servait une variété de repas nutritifs, répondant aux besoins alimentaires différents des étudiants."
35,cement,ciment,COGNATE,N,"The <MASK> felt cool and solid beneath her feet, grounding her in place.",The <MASK> mixer churned steadily as the construction crew laid the groundwork for the new skyscraper.,"Le <MASK> était frais et solide sous ses pieds, la maintenant en place.",Le mixeur <MASK> tournait régulièrement pendant que l'équipe de construction préparait le terrain pour le nouveau gratte-ciel.
36,colour,couleur,COGNATE,N,"Every surface seemed to hold a trace of <MASK>, quiet but vivid.",The vibrant <MASK> palette in the artist’s painting evoked the warmth and energy of a Mediterranean sunset.,"Chaque surface semblait contenir une trace de <MASK>, calme mais vive.",La palette vibrante <MASK> de la peinture de l’artiste évoque la chaleur et l’énergie d’un coucher de soleil méditerranéen.
37,company,compagnie,COGNATE,N,She works for a large <MASK>.,"The multinational <MASK> expanded its operations to several continents, becoming a leader in the tech industry.",Elle travaille pour un grand <MASK>.,"La multinationale <MASK> a étendu ses opérations sur plusieurs continents, devenant ainsi un leader de l'industrie technologique."
38,committee,comité,COGNATE,N,The <MASK> made the final decision.,The ethics <MASK> reviewed the controversial research project to ensure it met all legal and moral standards.,Le <MASK> a pris la décision finale.,L'éthique <MASK> a examiné le projet de recherche controversé pour s'assurer qu'il répondait à toutes les normes juridiques et morales.
39,diamond,diamant,COGNATE,N,She wore a sparkling <MASK> on her finger.,"The flawless <MASK> was the centerpiece of a lavish engagement ring, symbolizing eternal love and commitment.",Elle portait un <MASK> étincelant à son doigt.,"Le <MASK> impeccable était la pièce maîtresse d’une somptueuse bague de fiançailles, symbolisant l’amour et l’engagement éternels."
40,dictionary,dictionnaire,COGNATE,N,He looked up the word in the <MASK>.,"The comprehensive <MASK> included etymologies, usage notes, and pronunciation guides for thousands of words.",Il chercha le mot dans le <MASK>.,"Le <MASK> complet comprenait des étymologies, des notes d'utilisation et des guides de prononciation pour des milliers de mots."
41,family,famille,COGNATE,N,The <MASK> gathered for a reunion.,"Her <MASK> history traced back to the early settlers, documenting generations of triumphs and challenges.",Le <MASK> s'est réuni pour une réunion.,"Son histoire <MASK> remonte aux premiers colons, documentant des générations de triomphes et de défis."
42,flower,fleur,COGNATE,N,The <MASK> bent in the wind.,"The rare <MASK> species, known for its vibrant colors and intoxicating fragrance, attracted botanists from around the world.",Le <MASK> s'est plié sous le vent.,"L'espèce rare <MASK>, connue pour ses couleurs vibrantes et son parfum enivrant, a attiré les botanistes du monde entier."
43,forest,forêt,COGNATE,N,They went for a hike in the <MASK>.,"The dense <MASK> was home to a variety of wildlife, from elusive lynxes to towering centuries-old trees.",Ils sont allés faire une randonnée dans le <MASK>.,"Le dense <MASK> abritait une faune sauvage variée, allant des lynx insaisissables aux arbres centenaires imposants."
44,music,musique,COGNATE,N,"<MASK> drifted through the open window, filling the room with warmth.","The classical <MASK> filled the concert hall, transporting the audience to a different time and place.","<MASK> dérivait à travers la fenêtre ouverte, remplissant la pièce de chaleur.","Le classique <MASK> a rempli la salle de concert, transportant le public dans un moment et un lieu différents."
45,manner,manière,COGNATE,N,He had a friendly <MASK> with everyone.,The diplomat’s courteous <MASK> helped defuse tensions during the high-stakes negotiation.,Il a eu un <MASK> amical avec tout le monde.,Le courtois <MASK> du diplomate a contribué à désamorcer les tensions lors de négociations aux enjeux élevés.
46,magic,magique,COGNATE,N,He believed in the power of <MASK>.,"The magician’s sleight of hand made the audience believe in <MASK>, as objects seemed to vanish into thin air.",Il croyait au pouvoir de <MASK>.,"Le tour de passe-passe du magicien a fait croire au public au <MASK>, alors que les objets semblaient disparaître dans les airs."
47,necessity,nécessité,COGNATE,N,Clean water is a basic <MASK> of life.,The scarcity of clean water in the region highlighted the critical <MASK> for sustainable resource management.,L’eau propre est un <MASK> de base de la vie.,La rareté de l’eau potable dans la région a mis en évidence le <MASK> essentiel pour la gestion durable des ressources.
48,optimism,optimisme,COGNATE,N,She approached life with <MASK>.,Her unwavering <MASK> in the face of adversity inspired those around her to remain hopeful and resilient.,Elle a abordé la vie avec <MASK>.,Son <MASK> inébranlable face à l’adversité a inspiré son entourage à garder espoir et résilience.
49,combination,combinaison,COGNATE,N,The recipe required a <MASK> of spices.,The <MASK> of cutting-edge technology and innovative design made the new smartphone a market leader.,La recette nécessitait un <MASK> d'épices.,Le <MASK> de technologie de pointe et de design innovant a fait du nouveau smartphone un leader du marché.
50,accident,accident,COGNATE,N,The <MASK> caused a traffic jam.,The tragic <MASK> at the amusement park led to stricter safety regulations being implemented nationwide.,Le <MASK> a provoqué un embouteillage.,Le tragique <MASK> au parc d'attractions a conduit à la mise en œuvre de règles de sécurité plus strictes dans tout le pays.
51,object,objet,COGNATE,N,He pointed at the <MASK> on the table.,"The mysterious <MASK>, discovered at the archaeological site, sparked debates among historians about its purpose.",Il montra le <MASK> sur la table.,"Le mystérieux <MASK>, découvert sur le site archéologique, a suscité des débats parmi les historiens sur son objectif."
52,enemy,ennemi,COGNATE,N,He saw his <MASK> across the battlefield.,The spy's cunning plan ensured that his <MASK> never uncovered the secret intelligence.,Il a vu son <MASK> à travers le champ de bataille.,Le plan astucieux de l'espion garantissait que son <MASK> ne découvrirait jamais les renseignements secrets.
53,image,image,COGNATE,N,The <MASK> was blurry and hard to see.,The satellite <MASK> revealed the devastating impact of deforestation in the Amazon rainforest.,Le <MASK> était flou et difficile à voir.,Le satellite <MASK> a révélé l'impact dévastateur de la déforestation dans la forêt amazonienne.
54,temperature,température,COGNATE,N,The <MASK> was high today.,The rising global <MASK> has become a critical issue in the debate over climate change.,Le <MASK> était élevé aujourd’hui.,La montée du <MASK> à l’échelle mondiale est devenue une question cruciale dans le débat sur le changement climatique.
55,poem,poème,COGNATE,N,She wrote a beautiful <MASK> for her friend.,"His <MASK> captured the melancholy of a lost love, resonating with readers across generations.",Elle a écrit un magnifique <MASK> pour son amie.,"Son <MASK> a capturé la mélancolie d'un amour perdu, résonnant auprès des lecteurs à travers les générations."
56,region,région,COGNATE,N,The <MASK> was known for its wine production.,"The drought-stricken <MASK> faced severe agricultural losses, impacting the livelihoods of thousands of farmers.",Le <MASK> était connu pour sa production de vin.,"Le <MASK>, frappé par la sécheresse, a subi de graves pertes agricoles, affectant les moyens de subsistance de milliers d'agriculteurs."
57,ingredient,ingrédient,COGNATE,N,The dish required a secret <MASK>.,The chef’s signature dish featured a unique <MASK> that gave it an unforgettable flavor.,Le plat nécessitait un <MASK> secret.,Le plat signature du chef comportait un <MASK> unique qui lui donnait une saveur inoubliable.
58,theatre,théâtre,COGNATE,N,We went to the <MASK> in the evening.,The <MASK> performance of Shakespeare’s Hamlet captivated the audience with its intense emotion and intricate staging.,Nous sommes allés au <MASK> le soir.,La représentation <MASK> de Hamlet de Shakespeare a captivé le public par son émotion intense et sa mise en scène complexe.
59,salad,salade,COGNATE,N,She ordered a <MASK> for lunch.,"The fresh <MASK>, topped with goat cheese, candied pecans, and a balsamic reduction, was the highlight of the gourmet meal.",Elle a commandé un <MASK> pour le déjeuner.,"Le <MASK> frais, garni de fromage de chèvre, de pacanes confites et d'une réduction balsamique, était le point culminant du repas gastronomique."
60,park,parc,COGNATE,N,They took a walk in the <MASK>.,"The sprawling <MASK> in the city center featured expansive green lawns, tranquil lakes, and vibrant flower gardens.",Ils se promenèrent dans le <MASK>.,"Le vaste <MASK> du centre-ville présentait de vastes pelouses vertes, des lacs tranquilles et des jardins fleuris vibrants."
61,situation,situation,COGNATE,N,The <MASK> was difficult to handle.,"The diplomatic <MASK> between the two countries escalated, requiring urgent intervention to avoid conflict.",Le <MASK> était difficile à gérer.,"Le <MASK> diplomatique entre les deux pays s’est intensifié, nécessitant une intervention urgente pour éviter un conflit."
62,rose,rose,COGNATE,N,She received a <MASK> on Valentine’s Day.,"The delicate <MASK> bloomed in the garden, its soft petals a vibrant red, symbolizing love and passion.",Elle a reçu un <MASK> le jour de la Saint-Valentin.,"Le délicat <MASK> a fleuri dans le jardin, ses doux pétales d'un rouge vif, symbolisant l'amour et la passion."
63,cereal,céréale,COGNATE,N,He had a bowl of <MASK> for breakfast.,"The child’s favorite <MASK> was fortified with vitamins and minerals, providing a nutritious start to the day.",Il avait un bol de <MASK> pour le petit-déjeuner.,"Le <MASK> préféré de l’enfant était enrichi de vitamines et de minéraux, offrant un début de journée nutritif."
64,person,personne,COGNATE,N,The <MASK> next to me was reading a book.,The <MASK> chosen to lead the humanitarian mission had decades of experience in crisis management and disaster relief.,Le <MASK> à côté de moi lisait un livre.,Le <MASK> choisi pour diriger la mission humanitaire avait des décennies d’expérience dans la gestion de crise et les secours en cas de catastrophe.
65,cyclist,cycliste,COGNATE,N,The <MASK> rode down the street.,The professional <MASK> trained rigorously for months in preparation for the grueling Tour de France.,Le <MASK> descendit la rue.,Le professionnel <MASK> s'est entraîné rigoureusement pendant des mois en vue de l'épuisant Tour de France.
66,anniversary,anniversaire,COGNATE,N,They celebrated their <MASK> at a nice restaurant.,"Their 50th wedding <MASK> was a grand affair, bringing together family and friends from around the world to celebrate their enduring love.",Ils ont célébré leur <MASK> dans un bon restaurant.,"Leur 50ème mariage <MASK> était une grande affaire, réunissant famille et amis du monde entier pour célébrer leur amour durable."
67,abundance,abondance,COGNATE,N,There was an <MASK> of food at the party.,"The region’s <MASK> of natural resources has attracted foreign investors, transforming it into an economic powerhouse.",Il y avait un <MASK> de nourriture à la fête.,"Le <MASK> de ressources naturelles de la région a attiré les investisseurs étrangers, la transformant en une puissance économique."
68,arrogance,arrogance,COGNATE,N,His <MASK> made him difficult to work with.,"The CEO’s <MASK> alienated his colleagues, leading to a toxic work environment and high turnover rates.",Son <MASK> le rendait difficile à travailler.,"Le <MASK> du PDG a aliéné ses collègues, conduisant à un environnement de travail toxique et à des taux de roulement élevés."
69,captain,capitaine,COGNATE,N,The <MASK> gave orders to the crew.,"The <MASK> skillfully navigated the ship through treacherous waters, ensuring the safety of all aboard during the storm.",Le <MASK> donnait des ordres à l'équipage.,"Le <MASK> a habilement dirigé le navire dans des eaux dangereuses, assurant la sécurité de tous à bord pendant la tempête."
70,ceremony,cérémonie,COGNATE,N,The <MASK> began as the first light touched the horizon.,"The military <MASK> honored fallen soldiers with precision and solemnity, a tribute to their sacrifice for the nation.",Le <MASK> a commencé lorsque la première lumière a touché l'horizon.,"L'armée <MASK> a honoré les soldats tombés au combat avec précision et solennité, un hommage à leur sacrifice pour la nation."
71,acrobatic,acrobatique,COGNATE,ADJ,The <MASK> performance was impressive.,The <MASK> routine involved a series of intricate flips and spins that defied the laws of gravity.,La performance de <MASK> était impressionnante.,La routine <MASK> impliquait une série de retournements et de pirouettes complexes qui défiaient les lois de la gravité.
72,active,active,COGNATE,ADJ,He is an <MASK> person who exercises daily.,"Her <MASK>role in the community has made a significant impact, particularly in environmental advocacy.",C'est une personne <MASK> qui fait de l'exercice quotidiennement.,"Son rôle <MASK> dans la communauté a eu un impact significatif, notamment en matière de défense de l'environnement."
73,ambitious,ambitieux,COGNATE,ADJ,She is an <MASK> student with big dreams.,His <MASK> plan to scale Mount Everest required years of preparation and rigorous training.,C'est une étudiante de <MASK> avec de grands rêves.,Son plan <MASK> pour escalader le mont Everest a nécessité des années de préparation et un entraînement rigoureux.
74,allergic,allergique,COGNATE,ADJ,She’s <MASK> to pollen.,His <MASK> reaction to peanuts was so severe that he carried an epinephrine injector at all times.,Elle est <MASK> au pollen.,Sa réaction <MASK> aux cacahuètes était si grave qu'il portait toujours un injecteur d'épinéphrine sur lui.
75,brutal,brutal,COGNATE,ADJ,The movie had some <MASK> fight scenes.,The <MASK> conditions of the war left many soldiers physically and mentally scarred for life.,Le film comportait quelques scènes de combat <MASK>.,"Les conditions de guerre <MASK> ont laissé de nombreux soldats marqués à vie, physiquement et mentalement."
76,ceramic,céramique,COGNATE,ADJ,The <MASK> bowl broke when it fell.,"The handcrafted <MASK> vase was an exquisite piece of art, showcasing the artist’s skill and attention to detail.",Le bol <MASK> s'est cassé en tombant.,"Le vase <MASK> fabriqué à la main était une œuvre d’art exquise, mettant en valeur le talent et l’attention portée aux détails de l’artiste."
77,circular,circulaire,COGNATE,ADJ,The building had a <MASK> design.,The ancient <MASK> stone structure at Stonehenge remains one of the world’s most enigmatic archaeological sites.,Le bâtiment avait une conception <MASK>.,L’ancienne structure en pierre <MASK> de Stonehenge reste l’un des sites archéologiques les plus énigmatiques au monde.
78,contagious,contagieux,COGNATE,ADJ,"Her enthusiasm was <MASK>, sparking excitement in others.",The flu outbreak became a public health concern due to its highly <MASK> nature.,"Son enthousiasme était <MASK>, suscitant l'enthousiasme des autres.",L'épidémie de grippe est devenue un problème de santé publique en raison de sa nature hautement <MASK>.
79,delicate,délicat,COGNATE,ADJ,The <MASK> flower petals blew away in the wind.,The <MASK> glass sculpture required meticulous care during transport to prevent even the slightest crack.,Les pétales de fleurs <MASK> ont été emportés par le vent.,La sculpture en verre <MASK> a nécessité un soin méticuleux pendant le transport pour éviter la moindre fissure.
80,delicious,délicieux,COGNATE,ADJ,"<MASK> treats lined the table, tempting everyone who passed by.","The <MASK> aroma of freshly baked bread filled the room, tempting everyone to take a slice.","Des friandises <MASK> bordaient la table, tentant tous les passants.","L'arôme <MASK> du pain fraîchement sorti du four remplissait la pièce, incitant tout le monde à en prendre une tranche."
81,enormous,énorme,COGNATE,ADJ,The house had an <MASK> backyard.,"The <MASK> mountain loomed in the distance, its peak towering above the clouds.",La maison avait une cour arrière <MASK>.,"La montagne <MASK> se profilait au loin, son sommet dominant les nuages."
82,exotic,exotique,COGNATE,ADJ,She tried an <MASK> dish at the new restaurant.,The <MASK> wildlife in the rainforest included vibrant birds and rare reptiles found nowhere else on Earth.,Elle a essayé un plat <MASK> dans le nouveau restaurant.,La faune <MASK> de la forêt tropicale comprenait des oiseaux vibrants et des reptiles rares que l'on ne trouve nulle part ailleurs sur Terre.
83,extraordinary,extraordinaire,COGNATE,ADJ,The magician performed an <MASK> trick.,"The museum’s collection includes an <MASK> array of rare artifacts from ancient civilizations, many of which have never been displayed before.",Le magicien a exécuté un tour <MASK>.,"La collection du musée comprend une gamme <MASK> d’objets rares provenant de civilisations anciennes, dont beaucoup n’ont jamais été exposés auparavant."
84,ferocious,féroce,COGNATE,ADJ,The tiger is a <MASK> predator.,The battle between the two nations was marked by <MASK> fighting that left cities in ruins and countless lives lost.,Le tigre est un prédateur <MASK>.,La bataille entre les deux nations a été marquée par des combats <MASK> qui ont laissé des villes en ruines et d'innombrables vies perdues.
85,fragile,fragile,COGNATE,ADJ,The <MASK> wings of the butterfly shimmered in the breeze.,"Despite their beauty, the <MASK> glass sculptures required careful handling to avoid damage during the exhibition.",Les ailes <MASK> du papillon scintillaient dans la brise.,"Malgré leur beauté, les sculptures en verre <MASK> ont nécessité une manipulation prudente pour éviter tout dommage pendant l'exposition."
86,generous,généreux,COGNATE,ADJ,He’s <MASK> with his time and money.,The billionaire’s <MASK> donation funded the construction of an entire wing in the hospital.,Il est <MASK> avec son temps et son argent.,Le don <MASK> du milliardaire a financé la construction d’une aile entière de l’hôpital.
87,impossible,impossible,COGNATE,ADJ,It’s <MASK> to finish the project today.,"The scientist’s discovery seemed <MASK> at first, but it revolutionized our understanding of genetics.",C'est <MASK> pour terminer le projet aujourd'hui.,"La découverte du scientifique semblait au premier abord <MASK>, mais elle a révolutionné notre compréhension de la génétique."
88,interesting,intéressant,COGNATE,ADJ,The movie was quite <MASK>.,The professor’s lecture on quantum physics was so <MASK> that even the most distracted students were fully engaged.,Le film était plutôt <MASK>.,Le cours du professeur sur la physique quantique était tellement <MASK> que même les étudiants les plus distraits étaient pleinement engagés.
89,juvenile,juvénile,COGNATE,ADJ,The behavior was quite <MASK>.,The <MASK> delinquent was sentenced to community service as part of a rehabilitation program.,Le comportement était tout à fait <MASK>.,Le délinquant <MASK> a été condamné à des travaux d'intérêt général dans le cadre d'un programme de réhabilitation.
90,magnificent,magnifique,COGNATE,ADJ,The view from the mountain was <MASK>.,"The ancient palace, with its <MASK> marble columns and expansive courtyards, remains a symbol of the empire’s former glory.",La vue depuis la montagne était <MASK>.,"L’ancien palais, avec ses colonnes de marbre <MASK> et ses vastes cours, reste un symbole de l’ancienne gloire de l’empire."
91,nervous,nerveux,COGNATE,ADJ,She felt <MASK> before her speech.,"As the final seconds ticked away, the <MASK> spectators anxiously awaited the outcome of the high-stakes basketball game.",Elle a ressenti <MASK> avant son discours.,"Alors que les dernières secondes s'écoulaient, les spectateurs de <MASK> attendaient avec impatience le résultat de ce match de basket à enjeux élevés."
92,ordinary,ordinaire,COGNATE,ADJ,The house looked <MASK> from the outside.,What began as an <MASK> walk in the park turned into an unexpected adventure when they stumbled upon a hidden cave.,La maison avait l'air <MASK> de l'extérieur.,Ce qui a commencé comme une promenade <MASK> dans le parc s'est transformé en une aventure inattendue lorsqu'ils sont tombés sur une grotte cachée.
93,rich,riche,COGNATE,ADJ,They live in a <MASK> neighborhood.,"The cuisine of the region is renowned for its <MASK> flavors, combining spices and ingredients that reflect the area’s diverse cultural influences.",Ils vivent dans un quartier <MASK>.,"La cuisine de la région est réputée pour ses saveurs <MASK>, combinant des épices et des ingrédients qui reflètent les diverses influences culturelles de la région."
94,special,spécial,COGNATE,ADJ,He prepared a <MASK> meal for her birthday.,"The chef created a <MASK> menu for the evening, featuring dishes that celebrated seasonal ingredients from local farms.",Il a préparé un repas <MASK> pour son anniversaire.,"Le chef a créé un menu <MASK> pour la soirée, composé de plats célébrant les ingrédients de saison des fermes locales."
95,terrible,terrible,COGNATE,ADJ,The weather was <MASK> today.,"The aftermath of the hurricane revealed the <MASK> devastation caused to the coastal towns, with homes destroyed and lives displaced.",Le temps était <MASK> aujourd'hui.,"Les conséquences de l'ouragan ont révélé la dévastation causée par <MASK> aux villes côtières, avec des maisons détruites et des vies déplacées."
