ID,en,en_meaning,es,es_meaning,type,lexical_category
53,elephant,"a thickset, usually extremely large, nearly hairless, herbivorous mammal (family Elephantidae, the elephant family) that has a snout elongated into a muscular trunk and two incisors in the upper jaw developed especially in the male into long ivory tusks.",elefante,"A mammal of the order of proboscideans, the largest of the terrestrial animals, with a small head and eyes, large, drooping ears, a nose and upper lip that are joined and very elongated in the form of a prehensile trunk, and two very large, solid incisor teeth, commonly called fangs, that lives in Asia and Africa.",COGNATE,N
54,palace,the official residence of a chief of state (such as a monarch or a president).,palacio,"Sumptuous house, intended as a residence for important figures, or for the meetings of high-ranking corporations.",COGNATE,N
55,plate,a shallow usually circular vessel from which food is eaten or served.,plato,"A low, generally round container, with a concavity in the middle and a commonly flat rim around it, used for serving food and eating from it and for other uses.",COGNATE,N
56,rock,consolidated or unconsolidated solid mineral matter.,roca,"A stone, or vein of it, very hard and solid.",COGNATE,N
57,sofa,a long upholstered seat usually with arms and a back and often convertible into a bed.,sofá,"Comfortable seat for two or more people, which has a backrest and arms.",COGNATE,N
58,catastrophe,a momentous tragic event ranging from extreme misfortune to utter overthrow or ruin.,catástrofe,Event that causes great destruction or damage,COGNATE,N
59,chimney,a vertical structure incorporated into a building and enclosing a flue or flues that carry off smoke.,chimenea,A barrel or duct for the smoke resulting from combustion to escape,COGNATE,N
60,biography,a usually written history of a person's life.,biografía,History of a person 's life,COGNATE,N
61,autograph,something written or made with one's own hand: a person's handwritten signature.,autógrafo,That is written by the hand of its author,COGNATE,N
62,discrimination,"prejudiced or prejudicial outlook, action, or treatment.",discriminación,Action and effect of discriminating,COGNATE,N
63,family,the basic unit in society traditionally consisting of two parents rearing their children: a household.,familia,"Group of people linked by relationships of marriage, kinship, cohabitation or affinity.",COGNATE,N
64,identification,an act of identifying : the state of being identified.,identificación,Action and effect of identifying or identifying oneself,COGNATE,N
65,information,"knowledge obtained from investigation, study, or instruction.",información,Communication or acquisition of knowledge that allows one to expand or refine the knowledge already possessed on a given subject,COGNATE,N
66,hospital,an institution where the sick or injured are given medical or surgical care.,hospital,"Establishment intended for the diagnosis and treatment of patients, where research and teaching are often practiced",COGNATE,N
67,hotel,"an establishment that provides lodging and usually meals, entertainment, and various personal services for the public.",hotel,Hospitality establishment capable of comfortably accommodating guests or travelers,COGNATE,N
68,map,a representation usually on a flat surface of the whole or a part of an area.,mapa,Geographical representation of the Earth or part of it on a flat surface,COGNATE,N
69,medal,a piece of metal often resembling a coin and having a stamped design that is issued to commemorate a person or event or awarded for excellence or achievement.,medalla,"Honorary distinction or prize that is usually awarded at exhibitions, contests, sports competitions",COGNATE,N
70,magic,the use of means (such as charms or spells) believed to have supernatural power over natural forces.,magia,"Occult art or science that attempts to produce, using certain acts or words, or with the intervention of imaginable beings, results contrary to natural laws",COGNATE,N
71,disinterested,not having the mind or feelings engaged.,desinteresado,Said of a person : Who has or shows disinterest.,COGNATE,ADJ
72,economic,"of, relating to, or based on the production, distribution, and consumption of goods and services.",económico,Of or relating to the economy.,COGNATE,ADJ
73,exact,to call for forcibly or urgently and obtain.,exacto,Equal to or resembling to a very high degree something or someone who is taken as a model.,COGNATE,ADJ
74,excited,"having, showing, or characterized by a heightened state of energy, enthusiasm, eagerness, etc. : feeling or showing excitement",excitado,"having, showing, or characterized by a heightened state of energy, enthusiasm, eagerness, etc. : feeling or showing excitement",COGNATE,ADJ
75,exclusive,"limiting or limited to possession, control, or use by a single individual or group.",exclusivo,That excludes or has the strength and virtue to exclude.,COGNATE,ADJ
76,false ,not genuine.,falso,Uncertain and contrary to the truth. ,COGNATE,ADJ
77,innocent,free from guilt or sin especially through lack of knowledge of evil.,inocente,Free of guilt.,COGNATE,ADJ
78,delicate,easily torn or damaged,delicado,"Fine, attentive, soft, tender.",COGNATE,ADJ
79,simple,Lacking in knowledge or expertise,simple,Without complications or difficulties.,COGNATE,ADJ
80,invisible,incapable by nature of being seen.,invisible,That cannot be seen.,COGNATE,ADJ
81,responsible,liable to be called on to answer.,responsable,Obliged to answer for something or someone.,COGNATE,ADJ
82,adorable,extremely charming or appealing.,adorable,Worthy of worship,COGNATE,ADJ
83,experimental,"of, relating to, or based on experience or experiment.",experimental,"Founded on experience, or known and achieved through it",COGNATE,ADJ
84,original,"Being the first instance or source from which a copy, reproduction, or translation is or can be made",original,"Said of a scientific, artistic, literary or any other kind of work : That which results from the inventiveness of its author.",COGNATE,ADJ
85,interesting,holding the attention : arousing interest,interesante,That which is interesting or worthy of interest.,COGNATE,ADJ
86,miniature,something small of its kind,miniatura,Small artistic object.,COGNATE,ADJ
87,professional,"of, relating to, or characteristic of a profession.",profesional,Belonging or relating to the profession.,COGNATE,ADJ
88,allergic,"of, relating to, affected with, or caused by allergy.",alérgico,Of or relating to allergy.,COGNATE,ADJ
89,contagious,transmissible by direct or indirect contact with an infected person.,contagioso,Said of a disease : That which spreads by contagion.,COGNATE,ADJ
90,adjustable,to bring to a more satisfactory state.,ajustable,That can be adjusted,COGNATE,ADJ
91,different,"partly or totally unlike in nature, form, or quality : dissimilar —often followed by from, than, or chiefly British to
not the same",diferente,"Diverse, distinct.",COGNATE,ADJ
92,enormous,"marked by extraordinarily great size, number, or degree; especially : exceeding usual bounds or accepted notions.",enorme,Much larger than normal.,COGNATE,ADJ
93,famous,Widely known.,famoso,Widely known.,COGNATE,ADJ
94,abstract,disassociated from any specific instance.,abstracto,Meaning some quality to the exclusion of the subject.,COGNATE,ADJ
95,important,marked by or indicative of significant worth or consequence.,importante,marked by or indicative of significant worth or consequence.,COGNATE,ADJ
96,incredible,too extraordinary and improbable to be believed.,increíble,Unbelievable​,COGNATE,ADJ
97,magnificient,marked by stately grandeur and lavishness,magnífico,"Splendid, sumptuous",COGNATE,ADJ
98,permanent,continuing or enduring without fundamental or marked change.,permanente,That remains.,COGNATE,ADJ
99,rich,having abundant possessions and especially material wealth.,rico,"Wealthy, landed or wealthy.",COGNATE,ADJ
100,terrible,extremely bad.,terrible,Difficult to tolerate.,COGNATE,ADJ
101,agreeable,"pleasing to the mind or senses especially as according well with one's tastes or needs
ready or willing to agree or consent
being in harmony : consonant",agradable,Producing pleasure or affable feelings.,COGNATE,ADJ
102,arduous,hard to accomplish or achieve.,arduo,Very difficult.,COGNATE,ADJ
103,attractive,arousing interest or pleasure.,atractivo,That attracts or has the power to attract.,COGNATE,ADJ
104,absurd,extremely silly or ridiculous.,absurdo,"Contrary and opposed to reason, which has no sense. ",COGNATE,ADJ
105,circular,having the form of a circle.,circular,Belonging or relating to the circle,COGNATE,ADJ
106,ironic,"relating to, containing, or constituting irony.",irónico,Which denotes or implies irony.,COGNATE,ADJ
107,conditional,"subject to, implying, or dependent upon a condition.",condicional,That includes and carries with it a condition or requirement.,COGNATE,ADJ
108,abundant,existing or occurring in large amounts.,abundante,Has in great quantity.,COGNATE,ADJ
109,necessary,absolutely needed.,necesario,Said of a person or a thing : That which is indispensable for something.,COGNATE,ADJ
110,imaginary,existing only in imagination.,imaginario,That only exists in the imagination.,COGNATE,ADJ
111,questionable,inviting inquiry.,cuestionable,That can be questioned.,COGNATE,ADJ
112,ordinary,of a kind to be expected in the normal order of events.,ordinario,"Common, regular and occurring habitually.",COGNATE,ADJ
113,primary,first in order of time or development.,primario,First in order or degree.,COGNATE,ADJ
114,hereditary,genetically transmitted or transmittable from parent to offspring.,hereditario,Belonging or relating to inheritance or acquired through it.​ ,COGNATE,ADJ
115,vacant,"not occupied by an incumbent, possessor, or officer.",vacante,That is unoccupied.,COGNATE,ADJ
116,elegant,of a high grade or quality.,elegante,"Endowed with grace, nobility and simplicity.",COGNATE,ADJ
117,distant,separated in space.,distante,That is distant.,COGNATE,ADJ
118,abnormal,deviating from the normal or average,anormal,That which is accidentally found outside of its natural state or the conditions that are inherent to it.,COGNATE,ADJ
119,exceptional,forming an exception.,excepcional,That constitutes an exception to the common rule.,COGNATE,ADJ
120,national,of or relating to a nation.,nacional,Belonging or relating to a nation.,COGNATE,ADJ
121,accidental,occurring unexpectedly or by chance.,accidental,"Casual, contingent",COGNATE,ADJ
122,active,characterized by action rather than by contemplation or speculation.,activo,That works or has the capacity to act,COGNATE,ADJ
123,electric,"of, relating to, or operated by electricity.",eléctrico,Having or transmitting electricity,COGNATE,ADJ
124,flexible,"characterized by a ready capability to adapt to new, different, or changing requirements.",flexible,"That adapts easily to the opinion, will or attitude of another or others",COGNATE,ADJ
125,perfect,being entirely without fault or defect : flawless.,perfecto,Having the highest possible degree of goodness or excellence in its line,COGNATE,ADJ
126,admirable,deserving the highest esteem,admirable,Worthy of admiration,COGNATE,ADJ
127,artificial,humanly contrived often on a natural model: man-made.,artificial,Made by hand or art of man,COGNATE,ADJ
128,arbitrary,existing or coming about seemingly at random or by chance or as a capricious and unreasonable act of will.,arbitrario,Subject to free will or whim rather than law or reason​,COGNATE,ADJ
129,temporary,lasting for a limited time.,temporario,Lasting for some time.,COGNATE,ADJ
130,organic,"of, relating to, or derived from living organisms.",orgánico,Said of a body : That is disposed or capable of living,COGNATE,ADJ
131,systematic,relating to or consisting of a system.,sistemático,That follows or conforms to a system,COGNATE,ADJ
132,precious,of great value or high price.,precioso,Of great value or high cost,COGNATE,ADJ
133,mysterious,"of, relating to, or constituting mystery",misterioso,That which contains or includes mystery within itself,COGNATE,ADJ
134,correct,"conforming to or agreeing with fact, logic, or known truth.",correcto,"Free of errors or defects, in accordance with the rules.",COGNATE,ADJ
135,compact,having a dense structure or parts or units closely packed or joined.,compacto,"Of tight texture and little porosity : dense, condensed.",COGNATE,ADJ
136,abstract,expressing a quality apart from an object.,abstracto,Meaning some quality to the exclusion of the subject,COGNATE,ADJ
137,tedious,tiresome because of length or dullness : boring.,tedioso,Producing boredom,COGNATE,ADJ
138,basic,"of, relating to, or forming the base or essence : fundamental.",básico,That which has a basic character or constitutes a fundamental element of something,COGNATE,ADJ
139,artistic,"of, relating to, or characteristic of art or artists",artístico,"Of or relating to the arts, especially the fine arts",COGNATE,ADJ
140,classic,serving as a standard of excellence : of recognized value,clásico,Said of an author or a work : That which is considered a model worthy of imitation in any art or science,COGNATE,ADJ
141,advertisement,a public notice; especially : a paid notice that is published or broadcast (as to attract customers or to provide information of public interest),advertencia,Action and effect of warning.,FALSE COGNATE,N
142,balloon,a nonporous bag of light material that can be inflated especially with air or gas: such as,balón,"Large ball, used in games or for therapeutic purposes.",FALSE COGNATE,N
143,cave,a natural chamber or series of chambers in the earth or in the side of a hill or cliff,cava,champagne; sparkling wine,FALSE COGNATE,N
144,carpet,a heavy often tufted fabric used as a floor covering; also : a floor covering made of this fabric,carpeta,"Rectangular desk utensil, usually made of cardboard or plastic, which, when folded in half and sometimes closed with ribbons or rubber bands, is used to store papers",FALSE COGNATE,N
145,diversion,"the act or an instance of diverting or straying from a course, activity, or use : deviation",diversión,Action and effect of entertaining.,FALSE COGNATE,N
146,vase,a usually round vessel of greater depth than width used chiefly as an ornament or for holding flowers,vaso,"A glass, metal or other material container, usually cylindrical in shape, used for drinking.",FALSE COGNATE,N
147,parade,a public procession usually to mark a holiday or event; especially : one involving many different people or groups who travel down a street.,parada,Action of stopping or halting.,FALSE COGNATE,N
148,code,a systematic statement of a body of law; especially : one given statutory force.,codo,Posterior and prominent part of the joint of the arm with the forearm.,FALSE COGNATE,N
149,arm,a human upper limb; especially : the part between the shoulder and the wrist.,arma,"Instrument, means or machine intended to attack or defend.",FALSE COGNATE,N
150,casualty,"a military person lost through death, wounds, injury, sickness, internment, or capture or through being missing in action.",casualidad,Combination of circumstances that cannot be foreseen or avoided.,FALSE COGNATE,N
151,alcove,a small recessed section of a room : nook.,alcoba,"In a home, a room intended for sleeping.",FALSE COGNATE,N
152,signature,the act of signing one's name to something.,asignatura,Each of the subjects that are taught in a teaching center or are part of a study plan.,FALSE COGNATE,N
153,bark,the tough exterior covering of a woody root or stem.,barco,"A vessel with a concave structure and, generally, of large dimensions.",FALSE COGNATE,N
154,cask,"a barrel-shaped vessel of staves, headings, and hoops usually for liquids.",casco,"Covering made of metal or other material, used to protect the head from wounds, bruises, etc.",FALSE COGNATE,N
155,exit,—used as a stage direction to specify who goes off stage,éxito,"Happy outcome of a business, performance, etc.",FALSE COGNATE,N
156,date,the time at which an event occurs,dato,Information about something specific that allows for its exact knowledge or serves to deduce the consequences derived from a fact.,FALSE COGNATE,N
157,deception,the act of causing someone to accept as true or valid what is false or invalid : the act of deceiving,decepción,Sorrow caused by disappointment.,FALSE COGNATE,N
158,discussion,consideration of a question in open and usually informal debate.,discusión,Action and effect of arguing.,FALSE COGNATE,N
159,expectation,the act or state of expecting : anticipation.,expectación,"Waiting, generally curious or tense, for an event that interests or matters.",FALSE COGNATE,N
160,fabric,a material that resembles cloth,fábrica,"Establishment equipped with the machinery, tools and facilities necessary for the manufacture of certain objects, obtaining certain products or industrial transformation of a source of energy.",FALSE COGNATE,N
161,float,vehicle with a platform used to carry an exhibit in a parade,flota,"A group of merchant ships belonging to a country, a shipping company or a maritime line.",FALSE COGNATE,N
162,gratification,the act of gratifying : the state of being gratified.,gratificación,Pecuniary reward for eventual service.,FALSE COGNATE,N
163,inconvenience,something that is inconvenient.,inconveniencia,"Impropriety, inadvisability",FALSE COGNATE,N
164,idiom,"an expression in the usage of a language that is peculiar to itself either in having a meaning that cannot be derived from the conjoined meanings of its elements (such as up in the air for ""undecided"") or in its grammatically atypical use of words (such as give way).",idioma,"Language of a people or nation, or common to several.",FALSE COGNATE,N
165,informality,marked by the absence of formality or ceremony.,informalidad,"Unreliability, frivolity.",FALSE COGNATE,N
166,ingenuity,skill or cleverness in devising or combining : inventiveness.,ingenuidad,"Candor, lack of malice.",FALSE COGNATE,N
167,injury,"hurt, damage, or loss sustained.",injuria,"Injury, outrage by action or word.",FALSE COGNATE,N
168,journal,"a record of experiences, ideas, or reflections kept regularly for private use : diary",jornal,Stipend that the worker earns for each day of work.,FALSE COGNATE,N
169,jubilation,an act of rejoicing : the state of being jubilant.,jubilación,Action and effect of retiring or retiring.,FALSE COGNATE,N
170,lecturer,"a person who gives lectures, especially as an occupation at a university or college of higher education.",lector,One who reads or has the habit of reading.,FALSE COGNATE,N
171,library,"a place in which literary, musical, artistic, or reference materials (such as books, manuscripts, recordings, or films) are kept for use but not for sale.",librería,Store where books are sold.,FALSE COGNATE,N
172,lantern,a usually portable protective case for a light with transparent openings.,linterna,"Flashlight, or a portable lantern with a single glass side and a handle on the opposite side.",FALSE COGNATE,N
173,mantle,a loose sleeveless garment worn over other clothes : cloak.,mantel,"Cover of linen, cotton or other material, which is placed on the table for eating.",FALSE COGNATE,N
174,mascara,a cosmetic especially for making the eyelashes darker and more prominent.,máscara,"Figure that represents a human, animal or purely imaginary face, with which a person can cover their face to avoid being recognized, take on the appearance of another person or practice certain scenic or ritual activities.",FALSE COGNATE,N
175,meeting,an act or process of coming together: such as.,mitin,Meeting where the public listens to speeches by a person of political or social relevance.,FALSE COGNATE,N
176,motto,"a sentence, phrase, or word inscribed on something as appropriate to or indicative of its character or use.",moto,"Two - wheeled automobile, with one or two seats and, sometimes, with a sidecar.",FALSE COGNATE,N
177,office,a place where a particular kind of business is transacted or a service is supplied,oficio,Skill and dexterity acquired through the practice of an activity or profession.,FALSE COGNATE,N
178,parent,one that begets or brings forth offspring.,pariente,Said of one person with respect to another : That he or she is related to him or her.,FALSE COGNATE,N
179,pain,a localized or generalized unpleasant bodily sensation or complex of sensations that causes mild to severe physical discomfort and emotional distress and typically results from bodily disorder (such as injury or disease); also : the state marked by the presence of such sensations.,pena,Great feeling of sadness.,FALSE COGNATE,N
180,pot,a usually rounded metal or earthen container used chiefly for domestic purposes (as in cooking or for holding liquids or growing plants); also : any of various technical or industrial vessels or enclosures resembling or likened to a household pot,pote,A jar - shaped pot in which flowers and fragrant herbs are planted and held.,FALSE COGNATE,N
181,alumnus,"a person who has attended or has graduated from a particular school, college, or university —usually used of a man in the singular but often of men and women in the plural.",alumno,"Person who receives teaching, with respect to a teacher or the school, college or university where he / she studies.",FALSE COGNATE,N
182,anxiety,apprehensive uneasiness or nervousness usually over an impending or anticipated ill : a state of being anxious.,ansiedad,"Longing, yearning, desire",FALSE COGNATE,N
183,apology,an admission of error or discourtesy accompanied by an expression of regret.,apología,"Speech or writing, in defense or praise of someone or something.​",FALSE COGNATE,N
184,assistance,the act of helping or assisting someone or the help supplied : aid,asistencia,Action of being or being present.,FALSE COGNATE,N
185,baggage,"suitcases, trunks, and personal belongings of travelers : luggage.",bagaje,Military equipment of an army or troop on the march.,FALSE COGNATE,N
186,verandah,a usually roofed open gallery or portico attached to the exterior of a building,baranda,"Parapet composed of balusters of wood, iron, bronze or other material, and the railings that hold them, commonly used for balconies, stair handrails and room division.​",FALSE COGNATE,N
187,barracks,a building or set of buildings used especially for lodging soldiers in garrison,barraca,A hut or shelter roughly constructed from light materials.,FALSE COGNATE,N
188,bigot,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices,bigote,Set of hairs that grow above the upper lip.,FALSE COGNATE,N
189,blank,"appearing or causing to appear dazed, confounded, or nonplussed.",blanco,"Target, mark, goal, or aim. Also white",FALSE COGNATE,N
190,boutique,a small shop dealing in fashionable clothing or accessories.,botica,"Pharmacy, laboratory and drug distribution.",FALSE COGNATE,N
191,bland,smooth and soothing in manner or quality.,blando,That yields easily to the pressure of touch.,FALSE COGNATE,ADJ
192,ancient,having had an existence of many years.,anciano,Characteristic of an elderly person.,FALSE COGNATE,ADJ
193,anxious,characterized by extreme uneasiness of mind or brooding fear about some contingency : worried.,ansioso,Accompanied by great greed or eagerness.,FALSE COGNATE,ADJ
194,apparent,clear or manifest to the understanding,aparente,"convenient, suitable",FALSE COGNATE,ADJ
195,callous,feeling no emotion,calloso,Having calluses.,FALSE COGNATE,ADJ
196,candid,marked by honest sincere expression.,cándido,"Naive, having no malice or duplicity.",FALSE COGNATE,ADJ
197,zealous,"marked by fervent partisanship for a person, a cause, or an ideal : filled with or characterized by zeal",celoso,"Feeling or showing an envious resentment of someone or their achievements, possessions, or perceived advantages.",FALSE COGNATE,ADJ
198,coloured,"a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects",colorado,red,FALSE COGNATE,ADJ
199,comprehensive,covering completely or broadly : inclusive.,comprensivo,Having the faculty or capacity to understand (finding acts or feelings justified ).,FALSE COGNATE,ADJ
200,conservative,of or relating to a philosophy of conservatism.,conservativo,That preserves something.,FALSE COGNATE,ADJ
201,convenient,suited to personal comfort or to easy performance.,conveniente,"Useful, appropriate, timely, beneficial.",FALSE COGNATE,ADJ
202,derogatory,expressive of a low opinion : disparaging.,derogatorio,That repeals.,FALSE COGNATE,ADJ
203,dishonest,"shameful, unchaste.",deshonesto,"Indecent, immodest, improper",FALSE COGNATE,ADJ
204,effective,"producing a decided, decisive, or desired effect.",efectivo,"Real and true, as opposed to chimerical, doubtful, or nominal",FALSE COGNATE,ADJ
205,egregious,conspicuous; especially : conspicuously bad : flagrant.,egregio,"Distinguished, illustrious.",FALSE COGNATE,ADJ
206,embarrassed,feeling or showing a state of self-conscious confusion and distress.,embarazada,"Said of a woman, or a female of any species : Who has conceived and has the fetus or child in her womb.",FALSE COGNATE,ADJ
207,invidious,of an unpleasant or objectionable nature.,envidioso,One who is envious.,FALSE COGNATE,ADJ
208,erratic,"irregular, having no fixed course",errático,"Transient, wandering or moving without a fixed direction or without settling in one place.",FALSE COGNATE,ADJ
209,stolid,having or expressing little or no sensibility : unemotional.,estólido,Lacking reason and discourse.,FALSE COGNATE,ADJ
210,extemporaneous,"composed, performed, or uttered on the spur of the moment : impromptu.",extemporáneo,Improper of the time in which it happens or is done.,FALSE COGNATE,ADJ
211,extravagant,exceeding the limits of reason or necessity.,extravagante,"That which is done or said outside of the order or common way of acting: eccentric, weird",FALSE COGNATE,ADJ
